sport,season,season_id,teamId,G,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2024,171,416,28,103,228,0.452,21,58,0.362,82,170,0.482,62,75,0.827,31,73,104,63,34,19,41,289,10021,0.49780701754385964,30,32,26,15,6,6,3,0
basketball,2024,171,417,26,109,214,0.509,34,76,0.447,75,138,0.543,46,57,0.807,14,85,99,73,36,18,47,298,13613,0.5887850467289719,32,27,22,19,5,3,1,0
basketball,2024,171,418,26,87,220,0.395,19,58,0.328,68,162,0.42,39,51,0.765,30,86,116,56,21,17,41,232,4583,0.43863636363636366,28,20,9,21,1,2,2,0
basketball,2024,171,419,30,89,229,0.389,18,65,0.277,71,164,0.433,67,84,0.798,37,102,139,51,17,22,42,263,7822,0.4279475982532751,28,39,16,18,4,5,2,0
basketball,2024,171,420,25,101,218,0.463,25,76,0.329,76,142,0.535,65,74,0.878,36,86,122,67,29,26,43,292,11128,0.5206422018348624,35,33,10,16,4,3,1,0
basketball,2024,171,421,28,112,237,0.473,27,74,0.365,85,163,0.521,53,63,0.841,31,79,110,61,25,18,49,304,6793,0.5295358649789029,34,32,21,10,7,6,2,0
basketball,2024,171,422,27,102,232,0.44,32,75,0.427,70,157,0.446,45,59,0.763,39,83,122,70,34,14,46,281,10779,0.5086206896551724,30,25,13,16,8,4,4,0
basketball,2024,171,423,26,100,216,0.463,19,59,0.322,81,157,0.516,51,67,0.761,27,75,102,51,34,15,47,270,8063,0.5069444444444444,24,33,11,13,2,8,3,0
basketball,2024,171,424,27,111,237,0.468,34,93,0.366,77,144,0.535,48,64,0.75,32,88,120,77,29,8,41,304,9274,0.540084388185654,31,36,15,6,6,5,1,0
basketball,2024,171,425,29,102,217,0.47,18,57,0.316,84,160,0.525,64,89,0.719,29,89,118,75,21,14,38,286,10575,0.511520737327189,31,40,11,21,5,4,6,0
basketball,2024,171,426,26,111,265,0.419,35,96,0.365,76,169,0.45,25,31,0.806,36,87,123,73,21,11,33,282,4187,0.4849056603773585,34,16,17,13,3,4,2,0
basketball,2024,171,427,26,127,243,0.523,32,79,0.405,95,164,0.579,37,51,0.725,29,96,125,80,27,8,39,323,13302,0.588477366255144,23,27,11,14,4,5,4,1
basketball,2024,171,428,8,30,70,0.429,6,25,0.24,24,45,0.533,17,23,0.739,13,29,42,22,6,4,17,83,2571,0.4714285714285714,8,12,8,3,1,0,1,0
basketball,2024,171,429,8,29,82,0.354,7,25,0.28,22,57,0.386,13,16,0.812,18,31,49,19,7,3,11,78,1291,0.39634146341463417,4,8,6,5,1,0,0,0
basketball,2024,171,430,10,38,77,0.494,10,20,0.5,28,57,0.491,3,6,0.5,7,33,40,23,7,6,12,89,4669,0.5584415584415584,8,4,5,6,0,1,0,0
basketball,2024,171,431,9,32,75,0.427,11,33,0.333,21,42,0.5,13,20,0.65,8,28,36,22,9,0,11,88,3272,0.5,12,8,3,8,0,1,0,0
