sport,season,season_id,teamId,G,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2022,6,86,25,101,218,0.463,25,68,0.368,76,150,0.507,37,43,0.86,20,84,104,51,25,9,40,264,6278,0.5206422018348624,26,23,16,11,1,3,2,0
basketball,2022,6,87,23,102,235,0.434,14,67,0.209,88,168,0.524,45,56,0.804,38,87,125,46,37,7,45,263,9070,0.46382978723404256,16,27,15,20,5,5,3,0
basketball,2022,6,88,29,98,209,0.469,21,61,0.344,77,148,0.52,35,43,0.814,26,80,106,50,17,11,50,252,4280,0.5191387559808612,36,21,9,10,5,7,2,0
basketball,2022,6,89,32,106,225,0.471,25,62,0.403,81,163,0.497,49,61,0.803,25,90,115,57,25,6,40,286,9783,0.5266666666666666,24,31,14,13,5,1,5,0
basketball,2022,6,90,31,107,223,0.48,24,76,0.316,83,147,0.565,40,49,0.816,32,72,104,51,32,3,44,278,6574,0.5336322869955157,16,25,17,20,3,3,2,0
basketball,2022,6,91,27,109,201,0.542,26,75,0.347,83,126,0.659,34,43,0.791,16,74,90,67,22,11,38,278,11872,0.6069651741293532,22,20,18,20,5,4,1,0
basketball,2022,6,92,31,108,208,0.519,23,47,0.489,85,161,0.528,32,39,0.821,28,82,110,59,20,5,38,271,7852,0.5745192307692307,28,21,12,11,5,3,2,0
basketball,2022,6,93,26,91,208,0.438,25,67,0.373,66,141,0.468,46,54,0.852,22,62,84,52,22,8,40,253,4388,0.49759615384615385,24,24,22,18,2,5,2,0
basketball,2022,6,94,26,91,200,0.455,27,78,0.346,64,122,0.525,39,45,0.867,18,77,95,47,25,7,36,248,8065,0.5225,21,20,14,24,2,2,2,0
basketball,2022,6,95,28,100,211,0.474,22,59,0.373,78,152,0.513,29,33,0.879,24,61,85,66,30,10,49,251,4971,0.5260663507109005,29,19,23,16,4,7,1,0
basketball,2022,6,96,27,87,199,0.437,13,59,0.22,74,140,0.529,47,56,0.839,30,82,112,51,21,5,52,234,6452,0.46984924623115576,20,26,12,21,9,4,3,1
basketball,2022,6,97,31,95,206,0.461,19,48,0.396,76,158,0.481,41,54,0.759,28,82,110,63,36,8,36,250,10126,0.5072815533980582,20,25,29,17,2,4,4,0
basketball,2022,6,98,26,107,205,0.522,28,74,0.378,79,131,0.603,50,53,0.943,28,84,112,60,17,10,46,292,8730,0.5902439024390244,27,22,16,22,4,3,4,0
basketball,2022,6,99,28,100,209,0.478,27,58,0.466,73,151,0.483,29,37,0.784,23,73,96,63,21,13,30,256,6335,0.5430622009569378,19,16,16,14,3,1,1,0
basketball,2022,6,100,28,100,228,0.439,26,71,0.366,74,157,0.471,62,71,0.873,41,79,120,51,34,10,46,288,8418,0.4956140350877193,17,33,18,17,5,5,4,0
basketball,2022,6,101,27,93,217,0.429,28,71,0.394,65,146,0.445,30,34,0.882,26,69,95,55,25,10,27,244,6923,0.4930875576036866,24,16,16,13,4,7,2,0
basketball,2022,6,102,21,67,154,0.435,22,60,0.367,45,94,0.479,9,13,0.692,27,57,84,37,11,5,20,165,6829,0.5064935064935064,10,6,9,9,1,4,3,0
basketball,2022,6,103,20,63,136,0.463,20,50,0.4,43,86,0.5,30,38,0.789,21,53,74,37,11,4,30,176,4493,0.5367647058823529,16,20,11,6,2,4,1,0
basketball,2022,6,104,24,96,205,0.468,16,48,0.333,80,157,0.51,34,39,0.872,23,68,91,49,28,6,43,242,5106,0.5073170731707317,18,19,16,8,4,3,1,0
basketball,2022,6,105,25,104,200,0.52,29,64,0.453,75,136,0.551,33,38,0.868,15,78,93,62,22,10,39,270,7932,0.5925,20,19,9,22,6,2,2,0
