sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
softball,v1,2023,14,0,0,,3,1,1,OF,,Victoria,Hayward,Victoria Hayward,1,1,1,1,,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0.0,0.75,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,LF,7.0,7.0,0,0,0,0,0.0,0,0.0,0,0,0.0,Player,188,0
softball,v1,2023,14,0,0,,310,46,46,C,,Mia,Davidson,Mia Davidson,1,1,1,1,,4,3,1,1,0,0,1,4,0,1,0,0,0,0,0.333,0.5,1.333,4,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,C,7.0,7.0,5,0,0,0,1.0,0,0.0,5,5,6.428571428571429,Player,188,0
softball,v1,2023,14,0,0,,198,22,22,IF,,Sis,Bates,Sis Bates,1,1,1,1,,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,1,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SS,7.0,7.0,2,2,0,1,1.0,0,0.0,4,4,5.142857142857143,Player,188,0
softball,v1,2023,14,0,0,,325,60,60,RHP,,Mariah,Mazon,Mariah Mazon,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,194,1,0,0.0,0,0,0,3.2,3.667,0,0,0,0,0,3,3,0,0,0.8181074447777476,0.0,0.0,7.362967002999728,7.362967002999728,1.0,0.0,51,21,30,61.001000000000005,P,3.2,3.667,0,1,0,0,1.0,0,0.0,1,1,2.4543223343332428,Player,188,0
softball,v1,2023,14,0,0,,722,55,55,IF,,Rachel,Becker,Rachel Becker,1,1,1,1,,3,3,0,0,0,0,0,0,0,0,1,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2B,4.0,4.0,2,2,0,1,1.0,0,0.0,4,4,9.0,Player,188,0
softball,v1,2023,14,0,0,,308,5,5,IF,,Danielle,Gibson,Danielle Gibson,1,1,1,1,,4,2,1,2,1,0,0,1,0,1,0,0,0,0,1.0,0.75,1.5,3,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1B,7.0,7.0,9,1,0,1,1.0,0,0.0,10,10,12.857142857142858,Player,188,0
softball,v1,2023,14,0,0,,28,28,28,OF,,Haylie ,McCleney,Haylie  McCleney,1,1,1,1,,5,3,3,1,0,0,0,1,2,0,0,0,0,0,0.333,0.6,0.333,1,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CF,7.0,7.0,0,0,0,0,0.0,0,0.0,0,0,0.0,Player,188,0
softball,v1,2023,14,0,0,,292,32,32,IF,,Sierra,Romero,Sierra Romero,1,1,1,1,,4,3,0,2,1,1,0,2,1,0,0,0,0,0,0.667,0.75,1.667,5,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2B,3.0,3.0,1,1,0,0,1.0,0,0.0,2,2,6.0,Player,188,0
softball,v1,2023,14,0,0,,721,51,51,OF,,Caroline,Jacobsen,Caroline Jacobsen,,,0,,,1,1,0,0,0,0,0,0,0,0,0,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,188,0
softball,v1,2023,14,0,0,,656,80,80,RHP,,Megan,Faraimo,Megan Faraimo,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,130,0,0,4.200042,0,0,0,3.1,3.333,0,7,3,2,1,0,2,0,0,2.1002100210021,18.9018901890189,2.7002700270027002,0.0,5.4005400540054005,inf,8.1008100810081,61,20,41,37.999,P,3.1,3.333,0,1,1,0,0.5,0,0.0,2,2,2.7002700270027002,Player,188,0
