sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
softball,v1,2021,4,0,0,,34,41,41,C,,Jordan,Roberts,Jordan Roberts,,,0,,,1,1,0,0,0,0,0,0,0,0,1,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,195,70,70,RHP,,Amber,Fiser,Amber Fiser,,,,,0,,,,,,,,,,,,,,,,,,,,,112,0,0,0.0,0,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,1.0,9.0,0.0,0.0,0.0,,0.0,0,5,8,51.0,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,23,21,21,C,,Gwen,Svekis,Gwen Svekis,,,1,,,3,3,1,2,1,0,1,1,0,0,0,0,0,0,0.667,0.667,2.0,6,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,19,17,17,LHP,,Haylie,Wagner,Haylie Wagner,,,,,0,,,,,,,,,,,,,,,,,,,,,114,0,0,3.5,0,0,0,2.0,2.0,0,3,1,1,0,0,2,0,0,1.5,13.5,0.0,0.0,9.0,inf,4.5,0,6,19,48.0,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,3,1,1,OF,,Victoria,Hayward,Victoria Hayward,1,1,1,1,,4,3,1,0,0,0,0,0,1,0,0,1,1,0,0.0,0.25,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CF,7.0,7.0,1,0,0,0,1.0,0,0.0,1,1,1.2857142857142858,Player,48,0
softball,v1,2021,4,0,0,,165,31,31,IF,,Ali,Aguilar,Ali Aguilar,1,1,1,1,,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.333,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2B,7.0,7.0,3,4,0,0,1.0,0,0.0,7,7,9.0,Player,48,0
softball,v1,2021,4,0,0,,10,8,8,RHP,,Aleshia,Ocasio,Aleshia Ocasio,,,,,1,,,,,,,,,,,,,,,,,,,,,178,1,0,1.75,0,0,0,4.0,4.0,0,3,1,1,1,1,3,1,0,1.0,6.75,2.25,2.25,6.75,3.0,2.25,0,16,37,54.0,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,21,19,19,IF,,Hannah,Flippen,Hannah Flippen,1,1,1,1,,3,3,0,0,0,0,0,0,0,0,0,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3B,7.0,7.0,1,2,0,0,1.0,0,0.0,3,3,3.857142857142857,Player,48,0
softball,v1,2021,4,0,0,,32,37,37,IF,,DJ,Sanders,DJ Sanders,,,1,,,3,3,1,1,0,0,1,3,0,0,0,,,0,0.333,0.333,1.333,4,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,84,18,18,OF,,Morgan,Zerkle,Morgan Zerkle,1,1,1,1,,2,2,1,1,0,0,1,1,0,0,1,,,0,0.5,0.5,2.0,4,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,RF,0.0,0.0,1,0,0,0,1.0,0,0.0,1,1,inf,Player,48,0
softball,v1,2021,4,0,0,,51,45,45,IF,,Katiyana,Mauga,Katiyana Mauga,,,0,,,1,1,0,0,0,0,0,0,0,0,0,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,48,0
softball,v1,2021,4,0,0,,76,74,74,OF,,Morgan,Howe,Morgan Howe,1,1,1,1,,3,3,1,1,0,0,1,1,0,0,0,,,0,0.333,0.333,1.333,4,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,LF,7.0,7.0,2,0,1,0,0.667,0,0.0,3,3,2.5714285714285716,Player,48,0
