season,game_id,game_number,play_seq_num,narrative,home_team_id,home_team_score,away_team_id,away_team_score,offensive_team_id,offensive_team_score,defensive_team_id,defensive_team_score,inning,top_bottom_flag,outs,winning_team_id,action,hit_location,hit_location_description,batter_id,pitcher_id
2022,181,1,-1,Start of game,167,0,168,0,168,0,167,0,1,True,0,,,,,,
2022,181,1,1,V Hayward walked (3-0 BBBB).,167,0,168,0,168,0,167,0,1,True,0,,BB,0,,3,359
2022,181,1,2,V Hayward stole second.,167,0,168,0,168,0,167,0,1,True,0,,,,,,
2022,181,1,3,"J Jackson doubled to left center, RBI (1-2 BKK); V Hayward scored.",167,0,168,1,168,1,167,0,1,True,0,168,2B LC RBI,7,left center,54,359
2022,181,1,4,"H Flippen singled to center field, RBI (3-2 BBBKFF); J Jackson scored.",167,0,168,2,168,2,167,0,1,True,0,168,1B 8 RBI,8,center field,21,359
2022,181,1,5,M Davidson flied out to cf (0-0).,167,0,168,2,168,2,167,0,1,True,0,168,F8,8,,310,359
2022,181,1,6,H Flippen advanced to second on a wild pitch.,167,0,168,2,168,2,167,0,1,True,1,168,,,,,
2022,181,1,7,S Fischer singled through the left side (2-2 SBSB); H Flippen advanced to third.,167,0,168,2,168,2,167,0,1,True,1,168,1B LS,7,left side,37,359
2022,181,1,8,K Harshman popped up to ss (0-0).,167,0,168,2,168,2,167,0,1,True,1,168,P6,6,,11,359
2022,181,1,9,"T Edwards singled to center field, RBI (2-2 KBBS); S Fischer advanced to second; H Flippen scored.",167,0,168,3,168,3,167,0,1,True,2,168,1B 8 RBI,8,center field,46,359
2022,181,1,10,A Febrey grounded out to 1b unassisted (1-2 BSFF).,167,0,168,3,168,3,167,0,1,True,2,168,3UA,3,,459,359
2022,181,1,11,H McCleney doubled to center field (3-2 BKBFBF).,167,0,168,3,167,0,168,3,1,False,0,168,2B 8,8,center field,28,19
2022,181,1,12,Si Romero fouled out to rf (2-2 FBFFB); H McCleney advanced to third.,167,0,168,3,167,0,168,3,1,False,0,168,FF9,9,,292,19
2022,181,1,13,A Chidester struck out swinging (2-2 BBKKS).,167,0,168,3,167,0,168,3,1,False,1,168,KS,0,,36,19
2022,181,1,14,E Piancastel popped up to ss (3-2 BKBFB).,167,0,168,3,167,0,168,3,1,False,2,168,P6,6,,42,19
2022,181,1,15,K Stokes-O'C struck out looking (2-2 BBKKK).,167,0,168,3,168,3,167,0,2,True,0,168,KL,0,,303,359
2022,181,1,16,V Hayward struck out looking (1-2 BKFK).,167,0,168,3,168,3,167,0,2,True,1,168,KL,0,,3,359
2022,181,1,17,J Jackson grounded out to ss (0-0).,167,0,168,3,168,3,167,0,2,True,2,168,63,6,,54,359
2022,181,1,18,"A Urtez homered to center field, RBI (0-0).",167,1,168,3,167,1,168,3,2,False,0,168,HR 8 RBI,8,center field,9,19
2022,181,1,19,B Nickles singled down the rf line (0-0).,167,1,168,3,167,1,168,3,2,False,0,168,1B RL,9,rf line,204,19
2022,181,1,20,A Harrell walked (3-2 BBFFBB); B Nickles advanced to second.,167,1,168,3,167,1,168,3,2,False,0,168,BB,0,,309,19
2022,181,1,21,S Sherrill struck out swinging (1-2 FKBS).,167,1,168,3,167,1,168,3,2,False,0,168,KS,0,,311,19
2022,181,1,22,A Andrews grounded out to p (0-1 F); A Harrell advanced to second; B Nickles advanced to third.,167,1,168,3,167,1,168,3,2,False,1,168,13,1,,197,19
2022,181,1,23,H McCleney flied out to cf (3-2 KBKFBB).,167,1,168,3,167,1,168,3,2,False,2,168,F8,8,,28,19
