sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,v1,2022,13,176,26,522,111,93,26,32,9,1,4,23,14,2,19,3,3,0,55,0,2,2,1,0,1,1,0,21.0,33,22,20,3,15,12,0,1,446,191,265,161,50,21,2,2,2,73,0.344,0.44,0.591,1.031,,0.43,0.126,0.171,0.247,0.514,2.0,8.571,,,,2.286,14.143,1.286,6.429,5.143,0.8,9.429,0.973,73,3.969
softball,v1,2022,13,177,30,632,90,79,14,20,2,1,4,13,10,1,12,0,1,1,36,0,0,1,2,0,0,0,0,21.001,37,24,19,3,13,16,0,1,426,175,265,168,46,21,5,4,0,72,0.253,0.344,0.456,0.8,,0.316,0.111,0.133,0.203,0.381,,8.142,,,,2.381,15.856,1.286,5.571,6.857,1.231,10.285,0.931,72,3.589
softball,v1,2022,13,178,25,820,82,72,8,16,2,1,3,8,7,2,13,0,0,0,29,0,1,2,1,0,0,0,1,20.0,12,5,5,2,11,14,2,2,329,136,196,152,45,18,1,8,0,64,0.222,0.309,0.403,0.712,,0.278,0.085,0.159,0.181,0.339,,2.25,,,,1.15,5.4,0.9,4.95,6.3,1.273,2.25,0.984,64,3.73
softball,v1,2022,13,179,25,530,104,85,23,26,5,1,6,23,16,2,20,1,2,1,51,0,1,2,1,0,2,2,0,20.0,21,10,9,3,5,9,1,0,343,122,221,160,50,30,2,2,0,82,0.306,0.427,0.6,1.027,,0.482,0.154,0.192,0.294,0.542,2.0,4.05,,,,1.3,9.45,1.35,2.25,4.05,1.8,4.5,0.976,82,4.5
softball,v1,2022,13,180,28,368,82,76,3,14,2,1,1,3,5,0,15,0,0,0,21,0,1,0,3,0,1,1,0,19.999000000000002,18,7,7,2,11,26,2,2,382,152,230,153,33,17,1,0,1,51,0.184,0.235,0.276,0.511,,0.158,0.061,0.183,0.092,0.25,,3.15,,,,1.45,8.1,0.9,4.95,11.701,2.364,3.15,0.98,51,2.941
softball,v1,2022,13,181,25,422,89,74,10,18,2,2,3,10,10,4,14,0,0,0,33,0,1,2,1,1,2,2,0,21.0,23,22,22,6,11,13,3,2,392,155,237,165,50,25,0,5,0,75,0.243,0.364,0.446,0.81,,0.338,0.112,0.157,0.203,0.368,,9.429,,,,1.619,9.857,2.571,4.714,5.571,1.182,9.429,1.0,75,4.091
softball,v1,2022,13,182,28,326,99,84,14,22,4,1,5,13,8,7,17,1,2,1,43,0,0,1,2,0,0,0,0,20.0,21,15,15,6,11,12,2,1,375,151,226,153,45,26,2,0,0,73,0.262,0.374,0.512,0.886,,0.345,0.081,0.172,0.25,0.435,2.0,6.75,,,,1.6,9.45,2.7,4.95,5.4,1.091,6.75,0.973,73,4.176
softball,v1,2022,13,183,28,232,87,82,11,20,3,0,3,11,4,1,15,0,0,0,32,0,0,0,3,0,0,0,0,21.0,25,22,16,8,10,19,1,1,412,146,266,163,41,19,3,0,0,63,0.244,0.287,0.39,0.677,,0.195,0.046,0.172,0.146,0.359,,6.857,,,,1.667,10.714,3.429,4.286,8.143,1.9,9.429,0.952,63,3.313
softball,v1,2022,13,184,25,880,99,85,20,24,5,2,7,19,12,2,9,2,2,0,54,0,0,3,0,1,1,1,2,21.0,15,7,4,1,8,17,5,0,363,128,235,165,46,19,3,0,0,68,0.282,0.384,0.635,1.019,,0.518,0.121,0.091,0.353,0.449,2.0,1.714,,,,1.095,6.429,0.429,3.429,7.286,2.125,3.0,0.956,68,3.545
softball,v1,2022,13,185,25,840,90,74,10,16,3,1,3,10,12,1,16,0,0,0,30,2,1,2,1,0,0,0,1,20.0,21,11,11,3,7,9,3,1,337,125,212,154,52,28,0,7,1,80,0.216,0.326,0.405,0.731,,0.351,0.133,0.178,0.189,0.333,,4.95,,,,1.4,9.45,1.35,3.15,4.05,1.286,4.95,1.0,80,4.675
