sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
aux_softball,2023,106,3,Victoria,Hayward,Victoria Hayward,11,0,0,46,34,9,14,2,0,0,5,7,2,3,3,3,0,16,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,20,0,1,0,0,21,0.412,0.523,0.471,0.994,,0.353,0.152,0.065,0.059,0.438,,,,,,,,,,,,,0.952,21,2.368
aux_softball,2023,106,7,Sashel,Palacios,Sashel Palacios,7,0,0,13,11,4,3,1,0,0,2,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,21,0,1,0,0,22,0.273,0.385,0.364,0.749,,0.182,0.077,0.154,0.091,0.333,,,,,,,,,,,,,0.955,22,6.517
aux_softball,2023,106,9,Anissa,Urtez,Anissa Urtez,11,0,0,45,38,10,12,3,0,2,8,4,0,6,0,0,0,21,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,18,18,2,1,0,38,0.316,0.381,0.553,0.934,,0.342,0.089,0.133,0.237,0.467,,,,,,,,,,,,,0.947,38,4.208
aux_softball,2023,106,10,Aleshia,Ocasio,Aleshia Ocasio,9,2,222,14,13,2,3,0,0,0,1,0,0,5,1,1,0,3,1,0,0,1,0,0,0,0,14.334,24,21,20,6,8,11,0,1,239,90,149,35,3,5,0,0,0,8,0.231,0.214,0.231,0.445,,0.077,0.0,0.357,0.0,0.333,,12.558,,,,2.232,15.069,3.767,5.023,6.907,1.375,13.185,1.0,8,2.057
aux_softball,2023,106,12,Abby,Ramirez,Abby Ramirez,5,0,0,12,9,4,3,0,0,0,2,1,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,5,5,2,0,0,12,0.333,0.4,0.333,0.733,,0.111,0.083,0.333,0.0,0.6,,,,,,,,,,,,,0.833,12,2.903
aux_softball,2023,106,19,Haylie,Wagner,Haylie Wagner,6,3,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,16.001,28,19,14,4,2,4,1,0,276,90,191,15,0,3,2,0,0,5,,,,,,,,,,,,7.875,,,,1.875,15.749,2.25,1.125,2.25,2.0,10.687,0.6,5,1.8
aux_softball,2023,106,22,Caleigh,Clifton,Caleigh Clifton,10,0,0,33,29,3,5,0,0,1,4,1,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,14,18,1,2,0,33,0.172,0.273,0.276,0.549,,0.138,0.03,0.121,0.103,0.25,,,,,,,,,,,,,0.97,33,4.5
aux_softball,2023,106,28,Haylie ,McCleney,Haylie  McCleney,11,0,0,46,43,12,16,1,1,2,8,3,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,22,1,1,0,0,24,0.372,0.413,0.581,0.994,,0.279,0.065,0.087,0.209,0.486,,,,,,,,,,,,,0.958,24,2.688
aux_softball,2023,106,29,Tori,Vidales,Tori Vidales,11,0,0,44,39,7,14,2,0,1,9,5,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,49,3,0,2,0,52,0.359,0.432,0.487,0.919,,0.256,0.114,0.091,0.128,0.441,,,,,,,,,,,,,1.0,52,6.078
aux_softball,2023,106,30,Jessi,Warren,Jessi Warren,11,0,0,41,35,10,12,1,0,4,11,1,5,8,0,0,0,25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,8,31,1,4,0,40,0.343,0.439,0.714,1.153,,0.4,0.024,0.195,0.371,0.696,,,,,,,,,,,,,0.975,40,4.808
