sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
aux_softball,2022,39,3,Victoria,Hayward,Victoria Hayward,11,0,0,48,43,9,22,2,0,0,2,3,0,3,1,1,0,24,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,81,5,1,0,0,0,6,0.512,0.543,0.558,1.101,,0.14,0.062,0.062,0.047,0.55,,,,,,,,,,,,,1.0,6,0.667
aux_softball,2022,39,7,Sashel,Palacios,Sashel Palacios,0,0,0,27,21,2,2,0,0,1,6,3,2,4,0,0,0,5,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.269,0.238,0.507,,0.286,0.111,0.148,0.143,0.188,,,,,,,,,,,,,,0,
aux_softball,2022,39,10,Aleshia,Ocasio,Aleshia Ocasio,9,4,562,28,25,2,2,0,0,0,0,3,0,5,1,1,0,2,0,0,0,2,0,0,0,1,23.0,36,18,16,2,9,10,0,1,402,151,259,41,7,5,0,2,1,12,0.08,0.179,0.08,0.259,,0.16,0.107,0.179,0.0,0.1,,6.261,,,,1.957,14.087,0.783,3.522,3.913,1.111,7.043,1.0,12,2.634
aux_softball,2022,39,12,Abby,Ramirez,Abby Ramirez,5,0,0,13,11,3,2,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,8,11,1,2,0,20,0.182,0.182,0.182,0.364,,0.0,0.0,0.231,0.0,0.25,,,,,,,,,,,,,0.95,20,4.886
aux_softball,2022,39,19,Haylie,Wagner,Haylie Wagner,5,2,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.667,17,9,8,1,3,19,0,1,284,90,194,14,1,3,0,0,1,4,,,,,,,,,,,,3.857,,,,1.071,8.196,0.482,1.446,9.161,6.333,4.339,1.0,4,2.571
aux_softball,2022,39,22,Caleigh,Clifton,Caleigh Clifton,12,0,0,41,33,5,8,2,1,0,4,5,2,6,0,0,0,12,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,87,18,23,8,2,0,49,0.242,0.375,0.364,0.739,,0.273,0.122,0.146,0.121,0.296,,,,,,,,,,,,,0.837,49,4.241
aux_softball,2022,39,23,Gwen,Svekis,Gwen Svekis,1,0,0,41,35,4,7,0,0,2,7,5,0,5,0,1,1,13,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.3,0.371,0.671,,0.286,0.122,0.122,0.171,0.321,,,,,,,,,,,,,,0,0.0
aux_softball,2022,39,28,Haylie ,McCleney,Haylie  McCleney,12,0,0,50,38,9,10,1,0,1,6,12,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,90,26,1,1,0,0,28,0.263,0.44,0.368,0.808,,0.421,0.24,0.12,0.105,0.355,,,,,,,,,,,,,0.964,28,2.7
aux_softball,2022,39,29,Tori,Vidales,Tori Vidales,12,0,0,44,41,6,13,4,1,2,7,2,0,5,0,0,0,25,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,87,81,2,0,4,0,83,0.317,0.341,0.61,0.951,,0.341,0.045,0.114,0.293,0.429,,,,,,,,,,,,,1.0,83,8.586
aux_softball,2022,39,31,Lilli,Piper,Lilli Piper,12,0,0,42,40,4,11,2,0,1,7,0,1,7,0,0,0,16,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,90,41,17,3,1,0,61,0.275,0.286,0.4,0.686,,0.125,0.0,0.167,0.125,0.364,,,,,,,,,,,,,0.951,61,5.8
