sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2021,3,1,1,Championship,60,21,21,SETTR,,Amanda,Peterson,Amanda Peterson,60,21,21,SETTR,,27,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,1.0,0,0.0,45
volleyball,v1,2021,3,1,1,Championship,81,16,16,OPPHT,,Sherridan,Atkinson,Sherridan Atkinson,81,16,16,OPPHT,,27,3,15,5.0,4,32,0.34,0,0.0,0,0,0,0.0,0,0,0.0,9,3.0,1,0.33,169
volleyball,v1,2021,3,1,1,Championship,120,29,29,OUTHT,OPPHT,Lindsay,Stalzer,Lindsay Stalzer,120,29,29,OUTHT,OPPHT,27,3,5,1.67,4,19,0.05,0,0.0,0,0,0,0.0,22,1,0.5,8,2.67,1,0.33,94
volleyball,v1,2021,3,1,1,Championship,90,13,13,OPPHT,,Sheilla,Castro,Sheilla Castro,90,13,13,OPPHT,,27,2,0,0.0,1,3,-0.33,0,0.0,0,0,0,0.0,2,0,0.0,0,0.0,0,0.0,28
volleyball,v1,2021,3,1,1,Championship,121,55,55,MBLCK,,Ali,Bastianelli,Ali Bastianelli,121,55,55,MBLCK,,27,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,40
volleyball,v1,2021,3,1,1,Championship,116,40,40,LIB,,Nomaris,Vélez Agosto,Nomaris Vélez Agosto,116,40,40,LIB,,27,3,0,0.0,0,0,0.0,1,0.33,0,0,0,0.0,15,0,0.73,10,3.33,0,0.0,113
volleyball,v1,2021,3,1,1,Championship,143,80,80,OUTHT,OPPHT,Holly,Toliver,Holly Toliver,143,80,80,OUTHT,OPPHT,27,2,0,0.0,1,3,-0.33,0,0.0,0,1,0,0.0,15,1,0.47,3,1.5,0,0.0,37
volleyball,v1,2021,3,1,2,Championship,141,14,14,OUTHT,,Leah,Edmond,Leah Edmond,141,14,14,OUTHT,,28,3,14,4.67,2,26,0.46,0,0.0,0,1,2,0.67,25,1,0.68,6,2.0,2,0.67,420
volleyball,v1,2021,3,1,2,Championship,140,41,41,MBLCK,,Taylor,Sandbothe,Taylor Sandbothe,140,41,41,MBLCK,,28,3,9,3.0,1,18,0.44,0,0.0,0,1,0,0.0,0,0,0.0,2,0.67,0,0.0,242
volleyball,v1,2021,3,1,2,Championship,122,95,95,OPPHT,,Ebony,Nwanebu,Ebony Nwanebu,122,95,95,OPPHT,,28,3,13,4.33,4,32,0.28,0,0.0,0,2,1,0.33,0,0,0.0,12,4.0,1,0.33,344
volleyball,v1,2021,3,1,2,Championship,64,8,8,OUTHT,,Cassidy,Lichtman,Cassidy Lichtman,64,8,8,OUTHT,,28,3,10,3.33,1,26,0.35,0,0.0,0,0,0,0.0,25,1,0.56,7,2.33,2,0.67,343
volleyball,v1,2021,3,1,2,Championship,144,50,50,MBLCK,,Ci,Michel,Ci Michel,144,50,50,MBLCK,,28,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,180
volleyball,v1,2021,3,1,2,Championship,78,22,22,OPPHT,,Sareea,Freeman,Sareea Freeman,78,22,22,OPPHT,,28,2,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,0.5,1,0.5,197
volleyball,v1,2021,3,1,2,Championship,66,2,2,SETTR,,Valerie,Nichol,Valerie Nichol,66,2,2,SETTR,,28,1,2,2.0,0,2,1.0,14,14.0,0,0,0,0.0,0,0,0.0,5,5.0,1,1.0,247
volleyball,v1,2021,3,1,2,Championship,131,26,26,OPPHT,,Erica,Wilson,Erica Wilson,131,26,26,OPPHT,,28,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,180
volleyball,v1,2021,3,1,2,Championship,88,28,28,MBLCK,,Taylor,Morgan,Taylor Morgan,88,28,28,MBLCK,,28,3,7,2.33,1,12,0.5,0,0.0,0,0,0,0.0,0,0,0.0,5,1.67,2,0.67,273
volleyball,v1,2021,3,1,2,Championship,117,17,17,SETTR,,Taylor,Bruns,Taylor Bruns,117,17,17,SETTR,,28,3,1,0.33,1,5,0.0,32,10.67,0,0,0,0.0,0,0,0.0,2,0.67,0,0.0,218
volleyball,v1,2021,3,1,2,Championship,58,7,7,LIB,,Tiffany,Clark,Tiffany Clark,58,7,7,LIB,,28,3,0,0.0,0,0,0.0,2,0.67,0,0,0,0.0,14,0,0.71,16,5.33,0,0.0,282
volleyball,v1,2021,3,1,2,Championship,146,44,44,OPPHT,,Willow,Johnson,Willow Johnson,146,44,44,OPPHT,,26,2,3,1.5,4,17,-0.06,0,0.0,0,0,0,0.0,0,0,0.0,4,2.0,0,0.0,-4
volleyball,v1,2021,3,1,2,Championship,56,5,5,MBLCK,,Molly,McCage,Molly McCage,56,5,5,MBLCK,,26,3,11,3.67,0,14,0.79,1,0.33,0,0,0,0.0,0,0,0.0,4,1.33,1,0.33,121
volleyball,v1,2021,3,1,2,Championship,115,3,3,SETTR,,Samantha,Seliger-Swenson,Samantha Seliger-Swenson,115,3,3,SETTR,,26,3,2,0.67,0,6,0.33,36,12.0,0,0,0,0.0,0,0,0.0,11,3.67,0,0.0,107
volleyball,v1,2021,3,1,2,Championship,67,19,19,OPPHT,,Katie,Carter,Katie Carter,67,19,19,OPPHT,,26,2,6,3.0,2,24,0.17,1,0.5,0,0,0,0.0,0,0,0.0,7,3.5,0,0.0,60
volleyball,v1,2021,3,1,2,Championship,70,23,23,MBLCK,,Molly,Lohman,Molly Lohman,70,23,23,MBLCK,,26,2,0,0.0,0,2,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,2,1.0,24
volleyball,v1,2021,3,1,2,Championship,91,24,24,OUTHT,,Aury,Cruz,Aury Cruz,91,24,24,OUTHT,,26,3,15,5.0,5,33,0.3,0,0.0,0,1,1,0.33,8,0,0.75,6,2.0,0,0.0,106
volleyball,v1,2021,3,1,2,Championship,62,1,1,LIB,,Kristen,Tupac,Kristen Tupac,62,1,1,LIB,,26,3,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,27,0,0.63,12,4.0,0,0.0,94
volleyball,v1,2021,3,1,2,Championship,77,4,4,SETTR,,Erica,Handley,Erica Handley,77,4,4,SETTR,,26,1,0,0.0,0,0,0.0,2,2.0,0,0,0,0.0,0,0,0.0,2,2.0,0,0.0,12
volleyball,v1,2021,3,1,2,Championship,139,42,42,OUTHT,,Symone,Abbott,Symone Abbott,139,42,42,OUTHT,,26,1,3,3.0,1,9,0.22,0,0.0,0,0,0,0.0,10,1,0.5,5,5.0,0,0.0,35
volleyball,v1,2021,3,1,2,Championship,71,7,7,OUTHT,,Erin,Fairs,Erin Fairs,71,7,7,OUTHT,,26,2,4,2.0,6,13,-0.15,2,1.0,0,1,1,0.5,23,0,0.7,7,3.5,1,0.5,45
volleyball,v1,2021,3,1,2,Championship,149,47,47,MBLCK,,Kristy,Wieser,Kristy Wieser,149,47,47,MBLCK,,26,2,0,0.0,0,1,0.0,0,0.0,0,1,0,0.0,0,0,0.0,1,0.5,1,0.5,9
volleyball,v1,2021,3,1,3,Championship,140,41,41,MBLCK,,Taylor,Sandbothe,Taylor Sandbothe,140,41,41,MBLCK,,28,3,2,0.67,1,10,0.1,1,0.33,0,1,1,0.33,0,0,0.0,3,1.0,2,0.67,88
volleyball,v1,2021,3,1,3,Championship,66,2,2,SETTR,,Valerie,Nichol,Valerie Nichol,66,2,2,SETTR,,28,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,40
volleyball,v1,2021,3,1,3,Championship,122,95,95,OPPHT,,Ebony,Nwanebu,Ebony Nwanebu,122,95,95,OPPHT,,28,3,13,4.33,4,30,0.3,1,0.33,0,1,0,0.0,0,0,0.0,6,2.0,1,0.33,151
volleyball,v1,2021,3,1,3,Championship,144,50,50,MBLCK,,Ci,Michel,Ci Michel,144,50,50,MBLCK,,28,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,40
volleyball,v1,2021,3,1,3,Championship,117,17,17,SETTR,,Taylor,Bruns,Taylor Bruns,117,17,17,SETTR,,28,3,1,0.33,0,4,0.25,31,10.33,0,1,0,0.0,0,0,0.0,3,1.0,0,0.0,86
volleyball,v1,2021,3,1,3,Championship,131,26,26,OPPHT,,Erica,Wilson,Erica Wilson,131,26,26,OPPHT,,28,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,40
volleyball,v1,2021,3,1,3,Championship,88,28,28,MBLCK,,Taylor,Morgan,Taylor Morgan,88,28,28,MBLCK,,28,3,3,1.0,0,8,0.38,0,0.0,0,1,0,0.0,0,0,0.0,2,0.67,0,0.0,66
volleyball,v1,2021,3,1,3,Championship,64,8,8,OUTHT,,Cassidy,Lichtman,Cassidy Lichtman,64,8,8,OUTHT,,28,3,6,2.0,0,19,0.32,2,0.67,0,0,1,0.33,17,0,0.65,13,4.33,0,0.0,189
volleyball,v1,2021,3,1,3,Championship,58,7,7,LIB,,Tiffany,Clark,Tiffany Clark,58,7,7,LIB,,28,3,0,0.0,0,0,0.0,3,1.0,0,0,0,0.0,22,1,0.73,11,3.67,0,0.0,118
volleyball,v1,2021,3,1,3,Championship,78,22,22,OPPHT,,Sareea,Freeman,Sareea Freeman,78,22,22,OPPHT,,28,2,3,1.5,0,4,0.75,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,64
volleyball,v1,2021,3,1,3,Championship,141,14,14,OUTHT,,Leah,Edmond,Leah Edmond,141,14,14,OUTHT,,28,3,11,3.67,5,25,0.24,0,0.0,0,1,0,0.0,23,1,0.52,4,1.33,2,0.67,116
volleyball,v1,2021,3,1,3,Championship,74,15,15,MBLCK,,Nia,Grant,Nia Grant,74,15,15,MBLCK,,27,3,7,2.33,5,14,0.14,0,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,124
volleyball,v1,2021,3,1,3,Championship,89,26,26,SETTR,,Brie,King,Brie King,89,26,26,SETTR,,27,3,1,0.33,0,3,0.33,44,14.67,0,1,1,0.33,0,0,0.0,12,4.0,1,0.33,268
volleyball,v1,2021,3,1,3,Championship,121,55,55,MBLCK,,Ali,Bastianelli,Ali Bastianelli,121,55,55,MBLCK,,27,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,3,Championship,147,77,77,MBLCK,,Cori,Crocker,Cori Crocker,147,77,77,MBLCK,,27,3,5,1.67,0,10,0.5,2,0.67,0,0,1,0.33,0,0,0.0,3,1.0,3,1.0,285
volleyball,v1,2021,3,1,3,Championship,143,80,80,OUTHT,OPPHT,Holly,Toliver,Holly Toliver,143,80,80,OUTHT,OPPHT,27,3,0,0.0,0,0,0.0,0,0.0,0,2,0,0.0,0,0,0.0,1,0.33,0,0.0,129
volleyball,v1,2021,3,1,3,Championship,90,13,13,OPPHT,,Sheilla,Castro,Sheilla Castro,90,13,13,OPPHT,,27,2,5,2.5,4,20,0.05,1,0.5,0,0,0,0.0,0,0,0.0,3,1.5,0,0.0,148
volleyball,v1,2021,3,1,3,Championship,60,21,21,SETTR,,Amanda,Peterson,Amanda Peterson,60,21,21,SETTR,,27,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,3,Championship,120,29,29,OUTHT,OPPHT,Lindsay,Stalzer,Lindsay Stalzer,120,29,29,OUTHT,OPPHT,27,3,8,2.67,2,16,0.38,0,0.0,0,1,0,0.0,30,1,0.77,7,2.33,0,0.0,241
volleyball,v1,2021,3,1,3,Championship,128,81,81,OUTHT,,Bethania,De La Cruz,Bethania De La Cruz,128,81,81,OUTHT,,27,3,21,7.0,1,38,0.53,0,0.0,0,1,0,0.0,13,0,0.69,8,2.67,2,0.67,430
volleyball,v1,2021,3,1,3,Championship,81,16,16,OPPHT,,Sherridan,Atkinson,Sherridan Atkinson,81,16,16,OPPHT,,27,2,3,1.5,1,6,0.33,0,0.0,0,1,0,0.0,0,0,0.0,4,2.0,1,0.5,176
volleyball,v1,2021,3,1,3,Championship,116,40,40,LIB,,Nomaris,Vélez Agosto,Nomaris Vélez Agosto,116,40,40,LIB,,27,3,0,0.0,0,0,0.0,1,0.33,0,0,0,0.0,15,0,0.6,16,5.33,0,0.0,239
volleyball,v1,2021,3,1,4,Championship,149,47,47,MBLCK,,Kristy,Wieser,Kristy Wieser,149,47,47,MBLCK,,26,3,1,0.33,1,2,0.0,0,0.0,0,1,0,0.0,0,0,0.0,1,0.33,1,0.33,45
volleyball,v1,2021,3,1,4,Championship,67,19,19,OPPHT,,Katie,Carter,Katie Carter,67,19,19,OPPHT,,26,3,8,2.67,2,23,0.26,0,0.0,0,1,0,0.0,0,0,0.0,8,2.67,0,0.0,112
volleyball,v1,2021,3,1,4,Championship,62,1,1,LIB,,Kristen,Tupac,Kristen Tupac,62,1,1,LIB,,26,3,0,0.0,0,0,0.0,4,1.33,0,0,0,0.0,33,1,0.39,14,4.67,0,0.0,128
volleyball,v1,2021,3,1,4,Championship,146,44,44,OPPHT,,Willow,Johnson,Willow Johnson,146,44,44,OPPHT,,26,1,0,0.0,0,2,0.0,0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0.0,52
volleyball,v1,2021,3,1,4,Championship,70,23,23,MBLCK,,Molly,Lohman,Molly Lohman,70,23,23,MBLCK,,26,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,40
volleyball,v1,2021,3,1,4,Championship,77,4,4,SETTR,,Erica,Handley,Erica Handley,77,4,4,SETTR,,26,1,0,0.0,0,0,0.0,6,6.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,46
volleyball,v1,2021,3,1,4,Championship,115,3,3,SETTR,,Samantha,Seliger-Swenson,Samantha Seliger-Swenson,115,3,3,SETTR,,26,3,3,1.0,2,6,0.17,23,7.67,0,0,1,0.33,0,0,0.0,11,3.67,0,0.0,130
volleyball,v1,2021,3,1,4,Championship,71,7,7,OUTHT,,Erin,Fairs,Erin Fairs,71,7,7,OUTHT,,26,3,0,0.0,0,0,0.0,0,0.0,0,2,1,0.33,0,0,0.0,0,0.0,0,0.0,36
volleyball,v1,2021,3,1,4,Championship,56,5,5,MBLCK,,Molly,McCage,Molly McCage,56,5,5,MBLCK,,26,3,8,2.67,0,13,0.62,0,0.0,0,2,0,0.0,0,0,0.0,2,0.67,6,2.0,210
volleyball,v1,2021,3,1,4,Championship,91,24,24,OUTHT,,Aury,Cruz,Aury Cruz,91,24,24,OUTHT,,26,3,9,3.0,7,33,0.06,1,0.33,0,0,2,0.67,9,0,0.67,8,2.67,1,0.33,117
volleyball,v1,2021,3,1,4,Championship,139,42,42,OUTHT,,Symone,Abbott,Symone Abbott,139,42,42,OUTHT,,26,3,10,3.33,5,26,0.19,2,0.67,0,3,0,0.0,27,0,0.41,8,2.67,0,0.0,100
volleyball,v1,2021,3,1,4,Championship,148,52,52,SETTR,,Kelly,Hunter,Kelly Hunter,148,52,52,SETTR,,29,3,0,0.0,0,0,0.0,2,0.67,0,0,0,0.0,0,0,0.0,2,0.67,0,0.0,152
volleyball,v1,2021,3,1,4,Championship,55,10,10,OUTHT,,Jordan,Larson,Jordan Larson,55,10,10,OUTHT,,29,3,14,4.67,5,36,0.25,1,0.33,0,0,0,0.0,13,0,0.69,10,3.33,1,0.33,333
volleyball,v1,2021,3,1,4,Championship,118,6,6,MBLCK,,Lauren,Gibbemeyer,Lauren Gibbemeyer,118,6,6,MBLCK,,29,3,6,2.0,1,18,0.28,0,0.0,0,2,0,0.0,0,0,0.0,1,0.33,1,0.33,177
volleyball,v1,2021,3,1,4,Championship,114,30,30,MBLCK,,Lianna,Sybeldon,Lianna Sybeldon,114,30,30,MBLCK,,29,3,7,2.33,0,12,0.58,0,0.0,0,0,1,0.33,0,0,0.0,3,1.0,4,1.33,291
volleyball,v1,2021,3,1,4,Championship,119,27,27,LIB,,Dalianliz,Rosado,Dalianliz Rosado,119,27,27,LIB,,29,3,0,0.0,0,0,0.0,3,1.0,0,0,0,0.0,15,2,0.53,9,3.0,0,0.0,180
volleyball,v1,2021,3,1,4,Championship,59,25,25,OPPHT,,Karsta,Lowe,Karsta Lowe,59,25,25,OPPHT,,29,3,14,4.67,4,29,0.34,2,0.67,0,2,0,0.0,0,0,0.0,5,1.67,2,0.67,239
volleyball,v1,2021,3,1,4,Championship,132,90,90,OUTHT,,Odina,Aliyeva,Odina Aliyeva,132,90,90,OUTHT,,29,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,4,Championship,112,34,34,SETTR,,Kaylee,Manns,Kaylee Manns,112,34,34,SETTR,,29,3,0,0.0,0,2,0.0,32,10.67,0,0,0,0.0,0,0,0.0,9,3.0,0,0.0,217
volleyball,v1,2021,3,1,4,Championship,113,33,33,OPPHT,,Alex,Holston,Alex Holston,113,33,33,OPPHT,,29,3,0,0.0,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,0.33,0,0.0,145
volleyball,v1,2021,3,1,4,Championship,68,18,18,OUTHT,,Deja,McClendon,Deja McClendon,68,18,18,OUTHT,,29,3,3,1.0,5,16,-0.13,0,0.0,0,0,0,0.0,28,3,0.64,8,2.67,0,0.0,144
volleyball,v1,2021,3,1,5,Championship,60,21,21,SETTR,,Amanda,Peterson,Amanda Peterson,60,21,21,SETTR,,27,2,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,100
volleyball,v1,2021,3,1,5,Championship,90,13,13,OPPHT,,Sheilla,Castro,Sheilla Castro,90,13,13,OPPHT,,27,2,5,2.5,1,10,0.4,0,0.0,0,0,0,0.0,0,0,0.0,2,1.0,0,0.0,138
volleyball,v1,2021,3,1,5,Championship,74,15,15,MBLCK,,Nia,Grant,Nia Grant,74,15,15,MBLCK,,27,3,1,0.33,0,4,0.25,1,0.33,0,0,0,0.0,0,0,0.0,1,0.33,0,0.0,114
volleyball,v1,2021,3,1,5,Championship,121,55,55,MBLCK,,Ali,Bastianelli,Ali Bastianelli,121,55,55,MBLCK,,27,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,100
volleyball,v1,2021,3,1,5,Championship,81,16,16,OPPHT,,Sherridan,Atkinson,Sherridan Atkinson,81,16,16,OPPHT,,27,2,11,5.5,1,19,0.53,0,0.0,0,2,0,0.0,0,0,0.0,4,2.0,2,1.0,264
volleyball,v1,2021,3,1,5,Championship,143,80,80,OUTHT,OPPHT,Holly,Toliver,Holly Toliver,143,80,80,OUTHT,OPPHT,27,1,0,0.0,0,0,0.0,0,0.0,0,1,0,0.0,0,0,0.0,0,0.0,0,0.0,92
volleyball,v1,2021,3,1,5,Championship,89,26,26,SETTR,,Brie,King,Brie King,89,26,26,SETTR,,27,3,1,0.33,1,2,0.0,36,12.0,0,1,0,0.0,0,0,0.0,13,4.33,2,0.67,213
volleyball,v1,2021,3,1,5,Championship,128,81,81,OUTHT,,Bethania,De La Cruz,Bethania De La Cruz,128,81,81,OUTHT,,27,3,12,4.0,5,37,0.19,1,0.33,0,3,1,0.33,18,1,0.67,6,2.0,1,0.33,219
volleyball,v1,2021,3,1,5,Championship,147,77,77,MBLCK,,Cori,Crocker,Cori Crocker,147,77,77,MBLCK,,27,3,1,0.33,1,5,0.0,0,0.0,0,1,0,0.0,0,0,0.0,2,0.67,3,1.0,134
volleyball,v1,2021,3,1,5,Championship,116,40,40,LIB,,Nomaris,Vélez Agosto,Nomaris Vélez Agosto,116,40,40,LIB,,27,3,0,0.0,0,0,0.0,2,0.67,0,0,0,0.0,14,2,0.14,12,4.0,0,0.0,142
volleyball,v1,2021,3,1,5,Championship,120,29,29,OUTHT,OPPHT,Lindsay,Stalzer,Lindsay Stalzer,120,29,29,OUTHT,OPPHT,27,3,8,2.67,5,22,0.14,0,0.0,0,0,0,0.0,28,0,0.54,9,3.0,2,0.67,203
volleyball,v1,2021,3,1,5,Championship,115,3,3,SETTR,,Samantha,Seliger-Swenson,Samantha Seliger-Swenson,115,3,3,SETTR,,26,3,1,0.33,0,1,1.0,40,13.33,0,1,1,0.33,0,0,0.0,11,3.67,1,0.33,199
volleyball,v1,2021,3,1,5,Championship,77,4,4,SETTR,,Erica,Handley,Erica Handley,77,4,4,SETTR,,26,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,80
volleyball,v1,2021,3,1,5,Championship,56,5,5,MBLCK,,Molly,McCage,Molly McCage,56,5,5,MBLCK,,26,3,11,3.67,3,19,0.42,0,0.0,0,1,2,0.67,0,0,0.0,2,0.67,2,0.67,202
volleyball,v1,2021,3,1,5,Championship,139,42,42,OUTHT,,Symone,Abbott,Symone Abbott,139,42,42,OUTHT,,26,3,9,3.0,5,24,0.17,0,0.0,0,2,0,0.0,28,1,0.57,10,3.33,0,0.0,146
volleyball,v1,2021,3,1,5,Championship,146,44,44,OPPHT,,Willow,Johnson,Willow Johnson,146,44,44,OPPHT,,26,2,11,5.5,1,24,0.42,0,0.0,0,1,0,0.0,0,0,0.0,5,2.5,1,0.5,185
volleyball,v1,2021,3,1,5,Championship,91,24,24,OUTHT,,Aury,Cruz,Aury Cruz,91,24,24,OUTHT,,26,3,10,3.33,6,27,0.15,0,0.0,0,1,0,0.0,12,0,0.75,8,2.67,1,0.33,150
volleyball,v1,2021,3,1,5,Championship,62,1,1,LIB,,Kristen,Tupac,Kristen Tupac,62,1,1,LIB,,26,3,0,0.0,0,0,0.0,2,0.67,0,0,0,0.0,26,0,0.77,7,2.33,0,0.0,157
volleyball,v1,2021,3,1,5,Championship,71,7,7,OUTHT,,Erin,Fairs,Erin Fairs,71,7,7,OUTHT,,26,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,80
volleyball,v1,2021,3,1,5,Championship,67,19,19,OPPHT,,Katie,Carter,Katie Carter,67,19,19,OPPHT,,26,2,3,1.5,3,15,0.0,0,0.0,0,1,0,0.0,0,0,0.0,3,1.5,0,0.0,75
volleyball,v1,2021,3,1,5,Championship,70,23,23,MBLCK,,Molly,Lohman,Molly Lohman,70,23,23,MBLCK,,26,3,2,0.67,1,8,0.13,0,0.0,0,1,0,0.0,0,0,0.0,1,0.33,2,0.67,105
volleyball,v1,2021,3,1,5,Championship,149,47,47,MBLCK,,Kristy,Wieser,Kristy Wieser,149,47,47,MBLCK,,26,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,80
volleyball,v1,2021,3,1,6,Championship,68,18,18,OUTHT,,Deja,McClendon,Deja McClendon,68,18,18,OUTHT,,29,3,3,1.0,6,16,-0.19,0,0.0,0,0,0,0.0,15,1,0.53,8,2.67,0,0.0,136
volleyball,v1,2021,3,1,6,Championship,114,30,30,MBLCK,,Lianna,Sybeldon,Lianna Sybeldon,114,30,30,MBLCK,,29,3,4,1.33,0,8,0.5,0,0.0,0,0,1,0.33,1,0,1.0,1,0.33,0,0.0,191
