sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2021,3,1,1,Championship,113,33,33,OPPHT,,Alex,Holston,Alex Holston,113,33,33,OPPHT,,29,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,1,Championship,114,30,30,MBLCK,,Lianna,Sybeldon,Lianna Sybeldon,114,30,30,MBLCK,,29,3,4,1.33,0,11,0.36,0,0.0,0,2,1,0.33,0,0,0.0,6,2.0,2,0.67,222
volleyball,v1,2021,3,1,1,Championship,112,34,34,SETTR,,Kaylee,Manns,Kaylee Manns,112,34,34,SETTR,,29,3,1,0.33,0,4,0.25,31,10.33,0,0,0,0.0,0,0,0.0,4,1.33,0,0.0,199
volleyball,v1,2021,3,1,1,Championship,59,25,25,OPPHT,,Karsta,Lowe,Karsta Lowe,59,25,25,OPPHT,,29,3,13,4.33,5,29,0.28,1,0.33,0,0,0,0.0,0,0,0.0,11,3.67,2,0.67,304
volleyball,v1,2021,3,1,1,Championship,119,27,27,LIB,,Dalianliz,Rosado,Dalianliz Rosado,119,27,27,LIB,,29,3,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,24,1,0.42,7,2.33,0,0.0,183
volleyball,v1,2021,3,1,1,Championship,132,90,90,OUTHT,,Odina,Aliyeva,Odina Aliyeva,132,90,90,OUTHT,,29,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,1,Championship,68,18,18,OUTHT,,Deja,McClendon,Deja McClendon,68,18,18,OUTHT,,29,3,6,2.0,4,16,0.13,3,1.0,0,1,0,0.0,22,1,0.77,8,2.67,0,0.0,197
volleyball,v1,2021,3,1,1,Championship,148,52,52,SETTR,,Kelly,Hunter,Kelly Hunter,148,52,52,SETTR,,29,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2021,3,1,1,Championship,55,10,10,OUTHT,,Jordan,Larson,Jordan Larson,55,10,10,OUTHT,,29,3,12,4.0,2,31,0.32,1,0.33,0,0,2,0.67,7,0,0.86,12,4.0,0,0.0,369
volleyball,v1,2021,3,1,1,Championship,118,6,6,MBLCK,,Lauren,Gibbemeyer,Lauren Gibbemeyer,118,6,6,MBLCK,,29,3,10,3.33,1,17,0.53,1,0.33,0,0,0,0.0,0,0,0.0,1,0.33,3,1.0,270
volleyball,v1,2021,3,1,1,Championship,128,81,81,OUTHT,,Bethania,De La Cruz,Bethania De La Cruz,128,81,81,OUTHT,,27,3,11,3.67,5,32,0.19,1,0.33,0,3,1,0.33,16,1,0.81,6,2.0,0,0.0,101
volleyball,v1,2021,3,1,1,Championship,89,26,26,SETTR,,Brie,King,Brie King,89,26,26,SETTR,,27,3,2,0.67,0,4,0.5,30,10.0,0,0,0,0.0,0,0,0.0,10,3.33,1,0.33,148
volleyball,v1,2021,3,1,1,Championship,147,77,77,MBLCK,,Cori,Crocker,Cori Crocker,147,77,77,MBLCK,,27,3,3,1.0,0,6,0.5,0,0.0,1,1,1,0.33,0,0,0.0,1,0.33,4,1.33,109
volleyball,v1,2021,3,1,1,Championship,74,15,15,MBLCK,,Nia,Grant,Nia Grant,74,15,15,MBLCK,,27,3,2,0.67,0,7,0.29,0,0.0,0,0,0,0.0,0,0,0.0,1,0.33,2,0.67,85
