sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
aux_softball,v1,2023,106,366,42,924,137,124,29,41,9,0,7,27,12,0,22,0,0,0,71,0,1,1,3,0,0,0,0,28.0,32,24,21,5,14,30,5,2,600,226,384,239,84,19,5,2,0,108,0.331,0.39,0.573,0.963,,0.339,0.088,0.161,0.242,0.505,,6.75,,,,1.643,10.286,1.607,4.5,9.643,2.143,7.714,0.954,108,3.879
aux_softball,v1,2023,106,367,42,586,138,116,22,35,9,0,3,22,13,5,23,0,0,0,53,2,2,2,2,0,0,0,0,28.0,44,30,29,10,15,28,1,5,500,195,305,226,82,19,2,6,0,103,0.302,0.39,0.457,0.847,,0.267,0.094,0.167,0.155,0.413,,9.321,,,,2.107,14.143,3.214,4.821,9.0,1.867,9.643,0.981,103,4.022
aux_softball,v1,2023,106,368,40,826,144,120,30,39,2,2,8,27,17,4,25,1,1,0,69,1,2,3,1,0,0,0,2,28.0,39,27,24,3,13,12,3,4,503,205,314,248,84,40,4,8,0,128,0.325,0.423,0.575,0.998,,0.4,0.118,0.174,0.25,0.534,2.0,7.714,,,,1.857,12.536,0.964,4.179,3.857,0.923,8.679,0.969,128,4.5
aux_softball,v1,2023,106,369,21,698,81,69,20,29,5,0,3,18,7,3,9,2,2,0,43,1,1,2,0,0,0,1,1,14.0,14,9,8,2,3,8,1,0,261,89,172,125,42,9,4,0,2,55,0.42,0.488,0.623,1.111,,0.333,0.086,0.111,0.203,0.552,2.0,5.143,,,,1.214,9.0,1.286,1.929,5.143,2.667,5.786,0.927,55,3.672
aux_softball,v1,2023,106,370,31,392,94,85,15,22,1,1,4,15,5,2,16,2,2,0,37,1,1,1,2,0,0,0,0,21.0,29,19,15,4,6,19,2,2,441,162,279,174,54,20,4,2,0,78,0.259,0.312,0.435,0.747,,0.259,0.053,0.17,0.176,0.394,2.0,6.429,,,,1.667,12.429,1.714,2.571,8.143,3.167,8.143,0.949,78,3.828
aux_softball,v1,2023,106,371,30,502,100,93,15,26,5,0,3,14,6,1,15,0,1,1,40,0,0,1,2,0,0,1,1,21.0,34,22,22,4,9,13,3,0,431,163,281,181,63,21,3,3,0,87,0.28,0.33,0.43,0.76,,0.204,0.06,0.15,0.151,0.387,,9.429,,,,2.048,14.571,1.714,3.857,5.571,1.444,9.429,0.966,87,4.177
