sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,2020,2,3,Victoria,Hayward,Victoria Hayward,10,0,0,62,53,15,21,2,1,2,11,7,0,5,7,7,0,31,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,20,1,2,0,0,23,0.396,0.459,0.585,1.044,,0.453,0.113,0.081,0.189,0.489,2.0,,,,,,,,,,,,0.913,23,2.7
softball,2020,2,4,Emily,Crane,Emily Crane,1,0,0,18,16,4,7,1,0,0,3,1,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0.438,0.444,0.5,0.944,,0.125,0.056,0.167,0.062,0.5,,,,,,,,,,,,,1.0,1,1.5
softball,2020,2,5,Samantha,Show,Samantha Show,7,3,798,57,49,11,15,2,0,5,11,6,0,15,0,0,0,32,0,2,0,2,0,0,0,0,10.667,25,22,20,4,8,5,0,0,226,88,142,35,38,1,1,3,0,40,0.306,0.382,0.653,1.035,,0.469,0.105,0.263,0.347,0.69,,16.874,,,,3.094,21.093,3.375,6.75,4.219,0.625,18.562,0.975,40,10.029
softball,2020,2,6,Randi,Rupp,Randi Rupp,4,6,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25.000999999999998,40,34,34,7,14,22,3,3,516,206,330,2,1,2,0,0,0,3,,,,,,,,,,,,12.24,,,,2.16,14.399,2.52,5.04,7.92,1.571,12.24,1.0,3,13.5
softball,2020,2,7,Sashel,Palacios,Sashel Palacios,0,0,0,33,24,4,6,0,0,1,5,9,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.455,0.375,0.83,,0.5,0.273,0.121,0.125,0.368,,,,,,,,,,,,,,0,
softball,2020,2,8,AJ,Andrews,AJ Andrews,11,0,0,27,25,8,6,0,1,0,1,2,0,3,6,6,0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,20,1,1,0,0,22,0.24,0.296,0.32,0.616,,0.4,0.074,0.111,0.08,0.273,,,,,,,,,,,,,0.955,22,3.5
softball,2020,2,9,Anissa,Urtez,Anissa Urtez,14,0,0,38,32,11,11,2,2,1,10,3,1,5,0,0,0,20,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,14,24,0,2,0,38,0.344,0.417,0.625,1.042,,0.375,0.079,0.132,0.281,0.462,,,,,,,,,,,,,1.0,38,10.364
softball,2020,2,10,Aleshia,Ocasio,Aleshia Ocasio,9,7,1334,29,26,8,11,1,2,1,4,3,0,6,0,0,0,19,0,0,5,1,0,1,3,0,35.333,44,21,18,7,9,14,3,1,546,178,371,31,3,12,2,0,0,17,0.423,0.483,0.731,1.214,,0.423,0.103,0.207,0.308,0.632,,4.585,,,,1.5,11.208,1.783,2.292,3.566,1.556,5.349,0.882,17,4.355
softball,2020,2,11,Kelsey,Jenkins,Kelsey Jenkins,13,0,0,39,34,4,9,2,0,1,6,2,2,7,0,0,0,14,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,79,9,1,5,0,89,0.265,0.333,0.412,0.745,,0.206,0.051,0.179,0.147,0.37,,,,,,,,,,,,,0.989,89,11.478
softball,2020,2,12,Abby,Ramirez,Abby Ramirez,13,0,0,40,32,6,4,0,0,0,1,3,3,9,2,4,2,4,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,19,25,0,1,0,44,0.125,0.263,0.125,0.388,,0.094,0.075,0.225,0.0,0.174,,,,,,,,,,,,,1.0,44,7.333
