sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,2020,2,13,Kelly,Barnhill,Kelly Barnhill,5,5,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,27.001,34,33,31,9,20,24,3,6,625,259,366,7,0,3,0,0,0,3,,,,,,,,,,,,10.333,,,,2.0,11.333,3.0,6.666,8.0,1.2,11.0,1.0,3,3.857
softball,2020,2,14,Shelby,Pendley,Shelby Pendley,13,1,46,53,46,12,13,1,0,1,3,5,0,6,0,0,0,17,1,1,0,0,0,0,0,0,2.0,1,3,1,1,1,0,0,0,17,13,18,88,27,25,5,4,0,57,0.283,0.346,0.37,0.716,,0.196,0.094,0.113,0.087,0.35,,4.5,,,,1.0,4.5,4.5,4.5,0.0,0.0,13.5,0.912,57,5.318
softball,2020,2,17,Kylan,Becker ,Kylan Becker ,10,0,0,48,44,4,11,1,0,0,5,3,1,5,2,2,0,12,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,18,1,2,0,0,21,0.25,0.312,0.273,0.585,,0.136,0.062,0.104,0.023,0.282,,,,,,,,,,,,,0.905,21,2.443
softball,2020,2,19,Haylie,Wagner,Haylie Wagner,10,9,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,4,0,62.667,67,30,28,9,5,31,1,2,830,303,644,45,3,13,0,0,2,16,,,,,,,,,,,,4.021,,,,1.149,9.622,1.293,0.718,4.452,6.2,4.308,1.0,16,3.2
softball,2020,2,20,Taylor,McQuillin,Taylor McQuillin,6,2,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,20.334,34,31,25,6,15,19,2,2,482,213,275,12,0,7,1,0,1,8,,,,,,,,,,,,11.065,,,,2.41,15.049,2.656,6.639,8.41,1.267,13.721,0.875,8,5.25
softball,2020,2,21,Hannah,Flippen,Hannah Flippen,15,0,0,61,53,15,18,1,1,6,18,7,0,3,4,5,1,39,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,97,34,37,1,8,0,72,0.34,0.41,0.736,1.146,,0.585,0.115,0.049,0.396,0.533,2.0,,,,,,,,,,,,0.986,72,6.588
softball,2020,2,22,Caleigh,Clifton,Caleigh Clifton,15,0,0,50,43,7,10,1,0,3,8,5,2,11,0,0,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,23,31,3,2,0,57,0.233,0.34,0.465,0.805,,0.349,0.1,0.22,0.233,0.448,,,,,,,,,,,,,0.947,57,5.341
softball,2020,2,23,Gwen,Svekis,Gwen Svekis,0,0,0,54,42,9,11,1,0,3,11,8,1,8,0,0,0,21,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.385,0.5,0.885,,0.429,0.148,0.148,0.238,0.438,,,,,,,,,,,,,,0,
softball,2020,2,24,Amanda,Sanchez,Amanda Sanchez,12,0,0,38,31,3,8,3,0,2,8,3,4,7,0,0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,10,26,1,3,0,37,0.258,0.395,0.548,0.943,,0.387,0.079,0.184,0.29,0.455,,,,,,,,,,,,,0.973,37,6.353
softball,2020,2,27,Sahvanna,Jaquish,Sahvanna Jaquish,14,0,0,55,44,16,19,2,0,9,19,6,5,3,0,0,0,48,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,100,33,13,4,1,0,50,0.432,0.545,1.091,1.636,,0.795,0.109,0.055,0.659,0.875,,,,,,,,,,,,,0.92,50,4.14
softball,2020,2,28,Haylie ,McCleney,Haylie  McCleney,13,0,0,59,53,16,21,3,0,6,13,5,0,6,1,1,0,42,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,17,1,2,0,0,20,0.396,0.448,0.792,1.24,,0.509,0.085,0.102,0.396,0.659,2.0,,,,,,,,,,,,0.9,20,1.78
softball,2020,2,29,Tori,Vidales,Tori Vidales,15,0,0,56,52,13,19,6,0,3,12,4,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85,91,3,0,5,0,94,0.365,0.411,0.654,1.065,,0.365,0.071,0.071,0.288,0.489,,,,,,,,,,,,,1.0,94,9.953
softball,2020,2,30,Jessi,Warren,Jessi Warren,14,0,0,59,51,17,26,4,0,5,15,6,1,6,0,0,0,45,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,90,18,24,1,5,0,43,0.51,0.569,0.882,1.451,,0.49,0.102,0.102,0.373,0.775,,,,,,,,,,,,,0.977,43,4.2
softball,2020,2,31,Lilli,Piper,Lilli Piper,1,0,0,33,29,9,12,3,0,2,6,4,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0.414,0.485,0.724,1.209,,0.448,0.121,0.182,0.31,0.667,,,,,,,,,,,,,1.0,1,4.5
softball,2020,2,32,DJ,Sanders,DJ Sanders,8,0,0,47,42,8,14,5,1,4,14,5,0,10,1,1,0,33,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,14,6,0,1,0,20,0.333,0.404,0.786,1.19,,0.595,0.106,0.213,0.452,0.643,2.0,,,,,,,,,,,,1.0,20,3.75
softball,2020,2,33,Cat,Osterman,Cat Osterman,8,9,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,6,6,0,64.0,37,15,14,8,18,95,5,1,1043,350,693,44,1,13,3,0,1,17,,,,,,,,,,,,1.969,,,,0.859,5.203,1.125,2.531,13.359,5.278,2.109,0.824,17,2.864
softball,2020,2,34,Jordan,Roberts,Jordan Roberts,0,0,0,16,13,6,7,1,0,3,11,2,0,3,0,0,0,17,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.562,1.308,1.87,,0.923,0.125,0.188,0.769,1.25,,,,,,,,,,,,,,0,
softball,2020,2,36,Amanda,Chidester,Amanda Chidester,13,0,0,55,50,6,15,1,2,3,13,4,1,8,0,0,0,29,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,96,1,0,8,0,97,0.3,0.364,0.58,0.944,,0.36,0.073,0.145,0.28,0.462,,,,,,,,,,,,,1.0,97,9.593
softball,2020,2,37,Sam,Fischer,Sam Fischer,7,0,0,47,43,4,13,1,0,3,9,4,0,15,0,0,0,23,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,20,2,1,0,0,23,0.302,0.362,0.535,0.897,,0.326,0.085,0.319,0.233,0.64,,,,,,,,,,,,,0.957,23,5.5
softball,2020,2,38,Kelsey,Stewart,Kelsey Stewart,13,0,0,46,43,8,9,2,0,0,1,3,0,9,3,3,0,11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,18,21,0,3,0,39,0.209,0.261,0.256,0.517,,0.186,0.065,0.196,0.047,0.265,,,,,,,,,,,,,1.0,39,4.229
softball,2020,2,39,Nadia,Taylor,Nadia Taylor,2,0,0,48,44,6,12,3,0,4,12,4,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,3,0.273,0.333,0.614,0.947,,0.432,0.083,0.125,0.341,0.471,,,,,,,,,,,,,0.667,3,3.6
softball,2020,2,40,Danielle,O'Toole,Danielle O'Toole,11,10,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,3,0,62.001,66,32,25,10,13,42,5,2,1058,380,693,21,1,15,0,1,2,16,,,,,,,,,,,,3.629,,,,1.274,9.58,1.452,1.887,6.097,3.231,4.645,1.0,16,6.857
softball,2020,2,41,Aubree,Munro,Aubree Munro,0,0,0,23,21,1,4,0,0,1,5,2,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.261,0.333,0.594,,0.238,0.087,0.304,0.143,0.385,,,,,,,,,,,,,,0,
softball,2020,2,42,Erika,Piancastelli,Erika Piancastelli,0,0,0,55,52,14,17,2,0,9,15,3,0,7,0,0,0,46,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.364,0.885,1.249,,0.615,0.055,0.127,0.558,0.722,,,,,,,,,,,,,,0,
softball,2020,2,43,Paige,Halstead,Paige Halstead,0,0,0,7,7,2,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.572,,0.0,0.0,0.429,0.0,0.5,,,,,,,,,,,,,,0,
softball,2020,2,44,Jessica,Burroughs,Jessica Burroughs,10,5,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,37.333,56,47,36,9,19,10,6,0,532,263,364,25,0,8,4,0,1,12,,,,,,,,,,,,8.679,,,,2.009,13.5,2.17,4.58,2.411,0.526,11.33,0.667,12,2.88
softball,2020,2,45,Janie,Reed,Janie Reed,13,0,0,53,50,9,15,1,1,1,2,2,0,8,1,2,1,21,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,21,1,1,1,0,23,0.3,0.327,0.42,0.747,,0.16,0.038,0.151,0.12,0.39,2.0,,,,,,,,,,,,0.957,23,2.176
softball,2020,2,46,Taylor,Edwards,Taylor Edwards,0,0,0,53,44,3,13,3,0,2,7,6,1,5,0,1,1,22,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.385,0.5,0.885,,0.318,0.113,0.094,0.205,0.395,,,,,,,,,,,,,,0,
softball,2020,2,47,Nicole,DeWitt,Nicole DeWitt,11,0,0,40,36,3,5,0,0,0,3,1,3,9,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,10,15,1,1,0,26,0.139,0.225,0.139,0.364,,0.028,0.025,0.225,0.0,0.185,,,,,,,,,,,,,0.962,26,3.571
softball,2020,2,48,Megan,Wiggins,Megan Wiggins,14,0,0,56,49,12,17,2,0,4,11,6,0,4,2,2,0,31,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,98,26,0,1,0,0,27,0.347,0.411,0.633,1.044,,0.449,0.107,0.071,0.286,0.5,2.0,,,,,,,,,,,,0.963,27,2.388
softball,2020,2,49,Michelle,Moultrie,Michelle Moultrie,10,0,0,41,36,6,8,0,0,1,1,1,2,8,0,1,1,11,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,13,0,1,0,0,14,0.222,0.282,0.306,0.588,,0.083,0.024,0.195,0.083,0.333,,,,,,,,,,,,,0.929,14,1.746
softball,2020,2,50,Sami,Fagan,Sami Fagan,6,0,0,39,35,5,8,1,0,0,3,3,1,8,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,3,12,2,0,0,17,0.229,0.308,0.257,0.565,,0.114,0.077,0.205,0.029,0.296,,,,,,,,,,,,,0.882,17,3.214
softball,2020,2,51,Katiyana,Mauga,Katiyana Mauga,12,0,0,50,46,9,11,0,0,6,13,4,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,73,2,1,2,0,76,0.239,0.3,0.63,0.93,,0.478,0.08,0.16,0.391,0.531,,,,,,,,,,,,,0.987,76,8.882
softball,2020,2,53,Nicole,Pendley,Nicole Pendley,11,0,0,35,32,4,5,0,0,1,2,1,0,7,0,0,0,8,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,16,1,1,0,0,18,0.156,0.182,0.25,0.432,,0.125,0.029,0.2,0.094,0.25,,,,,,,,,,,,,0.944,18,2.217
softball,2020,2,54,Jazmyn,Jackson,Jazmyn Jackson,10,0,0,43,43,7,10,3,1,1,8,0,0,9,1,1,0,18,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,21,2,2,0,0,25,0.233,0.233,0.419,0.652,,0.209,0.0,0.209,0.186,0.333,2.0,,,,,,,,,,,,0.92,25,3.764
softball,2020,2,63,Nerissa,Myers,Nerissa Myers,14,0,0,55,35,11,9,1,0,2,5,13,5,7,0,0,0,16,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,28,28,1,1,0,57,0.257,0.5,0.457,0.957,,0.571,0.236,0.127,0.2,0.407,,,,,,,,,,,,,0.982,57,5.538
softball,2020,2,65,Mandie,Perez,Mandie Perez,10,0,0,27,26,3,6,0,1,1,2,1,0,6,0,1,1,11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,18,1,0,0,0,19,0.231,0.259,0.423,0.682,,0.192,0.037,0.222,0.192,0.368,,,,,,,,,,,,,1.0,19,3.0
softball,2020,2,69,Aubrey,Leach,Aubrey Leach,14,0,0,57,52,12,18,2,0,0,8,2,0,6,6,6,0,20,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,91,15,21,1,1,0,37,0.346,0.37,0.385,0.755,,0.192,0.035,0.105,0.038,0.391,,,,,,,,,,,,,0.973,37,3.56
softball,2020,2,72,Ariana,Williams,Ariana Williams,3,0,0,10,9,2,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,6,0.0,0.1,0.0,0.1,,0.222,0.1,0.3,0.0,0.0,,,,,,,,,,,,,1.0,6,7.714
softball,2020,2,75,Kamalani,Dung,Kamalani Dung,3,2,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17.0,30,24,24,9,12,16,0,0,370,164,206,11,1,0,1,0,0,2,,,,,,,,,,,,12.706,,,,2.471,15.882,4.765,6.353,8.471,1.333,12.706,0.5,2,0.818
softball,2020,2,76,Morgan,Howe,Morgan Howe,10,0,0,54,51,12,17,4,0,3,12,2,0,15,0,0,0,30,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,18,1,1,0,0,20,0.333,0.352,0.588,0.94,,0.294,0.037,0.278,0.255,0.588,,,,,,,,,,,,,0.95,20,3.226
softball,2020,2,79,Coley,Ries,Coley Ries,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.667,10,10,10,5,3,3,1,2,122,48,74,0,0,0,0,0,0,0,,,,,,,,,,,,19.284,,,,2.786,19.284,9.642,5.785,5.785,1.0,19.284,,0,
softball,2020,2,82,Karissa,Hovinga,Karissa Hovinga,2,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.001,31,20,18,6,2,6,2,0,273,89,185,5,0,2,1,0,0,3,,,,,,,,,,,,10.799,,,,2.2,18.599,3.6,1.2,3.6,3.0,11.999,0.667,3,3.6
softball,2020,2,83,Morgan,Foley,Morgan Foley,4,1,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22.666,35,30,30,6,17,17,2,2,460,206,294,8,0,5,0,0,0,5,,,,,,,,,,,,11.912,,,,2.294,13.897,2.382,6.75,6.75,1.0,11.912,1.0,5,5.625
softball,2020,2,84,Morgan,Zerkle,Morgan Zerkle,11,0,0,49,47,11,20,2,1,0,8,0,0,9,7,7,0,24,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,20,1,1,0,0,22,0.426,0.426,0.511,0.937,,0.234,0.0,0.184,0.085,0.526,,,,,,,,,,,,,0.955,22,2.908
softball,2020,2,85,Joey,Lye,Joey Lye,0,0,0,8,8,6,3,0,1,0,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.625,1.0,,0.375,0.0,0.25,0.25,0.5,,,,,,,,,,,,,,0,
softball,2020,2,87,Trish,Parks,Trish Parks,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666,6,10,9,4,6,0,0,0,67,40,32,0,0,0,0,0,0,0,,,,,,,,,,,,121.622,,,,18.018,81.081,54.054,81.081,0.0,0.0,135.135,,0,
