sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,2023,14,3,Victoria,Hayward,Victoria Hayward,7,0,0,28,21,7,6,0,0,0,0,6,0,3,3,3,0,6,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,0,0,7,0.286,0.444,0.286,0.73,,0.429,0.214,0.107,0.0,0.333,,,,,,,,,,,,,1.0,7,1.286
softball,2023,14,7,Sashel,Palacios,Sashel Palacios,1,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,8,0.0,0.0,0.0,0.0,,0.0,0.0,0.333,0.0,0.0,,,,,,,,,,,,,1.0,8,10.286
softball,2023,14,9,Anissa,Urtez,Anissa Urtez,7,0,0,26,20,2,6,2,0,1,5,3,0,5,0,0,0,11,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,12,10,1,3,0,23,0.3,0.375,0.55,0.925,,0.4,0.115,0.192,0.25,0.467,,,,,,,,,,,,,0.957,23,4.041
softball,2023,14,10,Aleshia,Ocasio,Aleshia Ocasio,5,2,406,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,11.333,10,4,4,3,3,4,1,0,170,57,113,15,1,5,0,0,0,6,0.5,0.667,0.5,1.167,,0.5,0.333,0.0,0.0,0.5,,3.177,,,,1.147,7.941,2.382,2.382,3.177,1.333,3.177,1.0,6,3.6
softball,2023,14,11,Kelsey,Harshman,Kelsey Harshman,7,0,0,26,22,2,9,1,0,1,1,3,1,5,2,2,0,13,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,7,10,0,1,0,17,0.409,0.5,0.591,1.091,,0.409,0.115,0.192,0.182,0.625,2.0,,,,,,,,,,,,1.0,17,3.122
softball,2023,14,12,Abby,Ramirez,Abby Ramirez,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,
softball,2023,14,19,Haylie,Wagner,Haylie Wagner,2,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333,7,2,2,1,1,0,1,0,63,23,40,4,0,2,0,0,0,2,,,,,,,,,,,,4.154,,,,1.846,14.54,2.077,2.077,0.0,0.0,4.154,1.0,2,4.5
softball,2023,14,20,Taylor,McQuillin,Taylor McQuillin,3,1,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10.333,6,4,4,0,7,13,0,0,203,76,127,10,0,1,0,0,0,1,,,,,,,,,,,,3.484,,,,1.258,5.226,0.0,6.097,11.323,1.857,3.484,1.0,1,0.9
softball,2023,14,21,Hannah,Flippen,Hannah Flippen,7,0,0,25,21,1,2,0,0,0,0,3,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,13,10,0,0,0,23,0.095,0.208,0.095,0.303,,0.143,0.12,0.16,0.0,0.118,,,,,,,,,,,,,1.0,23,4.059
softball,2023,14,22,Caleigh,Clifton,Caleigh Clifton,3,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,0,0,0,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,7,7.0
