sport,season,seasonId,playerId,first_name,last_name,full_name,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2021,5,92,Michelle,Tumolo,Michelle Tumolo,15,61,9,17,28,27,21,4,27,1,0,5,14,0,0,0,0,1184,0,0,0,0,0,0,0,0.333,0.519,
lacrosse,2021,5,93,Amber,McKenzie,Amber McKenzie,15,61,1,0,1,1,3,4,15,0,4,0,1,0,0,0,0,854,0,0,0,0,0,0,0,1.0,1.0,
lacrosse,2021,5,94,Katie,Hertsch,Katie Hertsch,15,61,0,0,0,0,2,3,16,0,1,0,0,0,0,0,0,719,0,0,0,0,0,0,0,,,
lacrosse,2021,5,95,Sammy Jo,Tracy,Sammy Jo Tracy,15,61,17,3,21,53,22,3,22,0,13,18,35,0,0,0,0,1005,0,0,0,0,0,0,0,0.321,0.66,
lacrosse,2021,5,98,Cortney,Fortunato,Cortney Fortunato,15,62,25,8,37,62,14,0,20,3,1,22,47,0,0,0,0,1355,0,0,0,0,0,0,0,0.403,0.758,
lacrosse,2021,5,99,Emily,Parros,Emily Parros,15,61,17,8,25,31,15,16,38,0,36,7,24,0,0,0,0,1287,0,0,0,0,0,0,0,0.548,0.774,
lacrosse,2021,5,100,Haley,Warden,Haley Warden,15,61,9,5,14,23,14,20,34,0,28,9,18,0,0,0,0,1287,0,0,0,0,0,0,0,0.391,0.783,
lacrosse,2021,5,101,Halle,Majorana,Halle Majorana,15,61,11,8,21,35,16,1,9,0,0,13,24,0,0,0,0,910,0,0,0,0,0,0,0,0.314,0.686,
lacrosse,2021,5,102,Taylor,VanThof,Taylor VanThof,15,62,8,1,11,33,20,7,20,1,21,10,18,0,0,0,0,1180,0,0,0,0,0,0,0,0.242,0.545,
lacrosse,2021,5,103,Lindsey,Ronbeck,Lindsey Ronbeck,15,61,10,6,16,39,16,0,4,0,0,12,22,0,0,0,0,920,0,0,0,0,0,0,0,0.256,0.564,
lacrosse,2021,5,105,Katrina,Geiger,Katrina Geiger,15,61,0,1,1,1,6,10,21,0,3,1,1,0,0,0,0,915,0,0,0,0,0,0,0,0.0,1.0,
lacrosse,2021,5,106,Taylor,Hensh,Taylor Hensh,15,61,8,1,9,21,3,2,11,0,1,7,15,0,0,0,0,1135,0,0,0,0,0,0,0,0.381,0.714,
lacrosse,2021,5,107,Caylee,Waters,Caylee Waters,15,60,0,0,1,1,8,4,24,0,1,1,1,0,0,0,0,1753,15,14,106,92,198,0,0,0.0,1.0,0.535
lacrosse,2021,5,108,Kathy,Rudkin,Kathy Rudkin,15,62,0,0,0,0,6,8,12,0,0,0,0,0,0,0,0,1087,0,0,0,0,0,0,0,,,
lacrosse,2021,5,109,Mollie,Stevens,Mollie Stevens,15,60,17,1,18,42,11,0,16,0,3,9,26,0,0,0,0,1080,0,0,0,0,0,0,0,0.405,0.619,
lacrosse,2021,5,111,Kayla,Treanor,Kayla Treanor,12,49,25,12,39,64,19,4,27,0,21,17,42,0,0,0,0,1436,0,0,0,0,0,0,0,0.391,0.656,
lacrosse,2021,5,123,Britt,Brown,Britt Brown,15,60,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1014,5,1,15,10,25,0,0,,,0.6
lacrosse,2021,5,124,Meg,Douty,Meg Douty,15,61,1,0,1,1,2,8,18,0,4,0,1,0,0,0,0,1106,0,0,0,0,0,0,0,1.0,1.0,
lacrosse,2021,5,125,Tianna,Wallpher,Tianna Wallpher,15,62,0,0,0,0,4,2,3,0,1,0,0,0,0,0,0,905,0,0,0,0,0,0,0,,,
lacrosse,2021,5,126,Sarah,Brown,Sarah Brown,15,60,0,0,0,0,2,6,13,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,,,
