sport,season,seasonId,playerId,first_name,last_name,full_name,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2021,5,127,Sydney,Pirreca,Sydney Pirreca,15,61,2,4,6,15,10,2,4,0,0,6,8,0,0,0,0,730,0,0,0,0,0,0,0,0.133,0.533,
lacrosse,2021,5,129,Mira,Shane,Mira Shane,15,61,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,930,10,6,48,34,82,0,0,,,0.585
lacrosse,2021,5,130,Sam,Apuzzo,Sam Apuzzo,15,61,36,9,49,91,20,11,32,2,47,22,58,0,0,0,0,1685,0,0,0,0,0,0,0,0.396,0.637,
lacrosse,2021,5,133,Kenzie,Kent,Kenzie Kent,15,61,22,23,45,53,32,3,32,0,20,11,33,0,0,0,0,1164,0,0,0,0,0,0,0,0.415,0.623,
lacrosse,2021,5,134,Holly,McGarvie Reilly,Holly McGarvie Reilly,15,61,0,0,0,0,2,3,12,0,0,0,0,0,0,0,0,989,0,0,0,0,0,0,0,,,
lacrosse,2021,5,135,Katrina,Dowd,Katrina Dowd,15,61,16,9,27,36,15,1,19,0,3,14,30,0,0,0,0,859,0,0,0,0,0,0,0,0.444,0.833,
lacrosse,2021,5,136,Katie,O'Donnell,Katie O'Donnell,15,62,8,1,9,19,17,7,12,0,17,6,14,0,0,0,0,1097,0,0,0,0,0,0,0,0.421,0.737,
lacrosse,2021,5,137,Britt,Read,Britt Read,15,60,0,0,0,0,8,4,19,0,1,0,0,0,0,0,0,1595,15,15,109,100,207,0,0,,,0.527
lacrosse,2021,5,138,Dempsey,Arsenault,Dempsey Arsenault,12,48,14,9,23,30,11,12,21,0,31,8,22,0,0,0,0,1238,0,0,0,0,0,0,0,0.467,0.733,
lacrosse,2021,5,142,Taryn,VanThof,Taryn VanThof,15,61,7,4,12,23,13,10,17,0,7,7,14,0,0,0,0,1215,0,0,0,0,0,0,0,0.304,0.609,
lacrosse,2021,5,152,Kylie,Ohlmiller,Kylie Ohlmiller,15,61,31,17,48,73,15,1,15,0,1,19,50,0,0,0,0,1536,0,0,0,0,0,0,0,0.425,0.685,
lacrosse,2021,5,153,Taylor,Cummings,Taylor Cummings,15,60,27,11,41,85,25,17,31,1,79,24,51,0,0,0,0,1943,0,0,0,0,0,0,0,0.318,0.6,
lacrosse,2021,5,155,Marie,McCool,Marie McCool,15,60,28,11,44,61,20,10,18,2,49,15,43,0,0,0,0,1517,0,0,0,0,0,0,0,0.459,0.705,
lacrosse,2021,5,156,Kristen,Carr,Kristen Carr,15,62,1,0,1,1,6,9,33,0,12,0,1,0,0,0,0,1087,0,0,0,0,0,0,0,1.0,1.0,
lacrosse,2021,5,162,Alex,Aust,Alex Aust,12,49,16,2,19,35,10,3,14,1,2,6,22,0,0,0,0,1000,0,0,0,0,0,0,0,0.457,0.629,
lacrosse,2021,5,172,Angie,Benson,Angie Benson,15,62,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,984,13,7,64,46,110,0,0,,,0.582
lacrosse,2021,5,173,Alyssa,Parrella,Alyssa Parrella,15,62,26,4,31,65,19,7,13,0,7,28,54,0,0,0,0,1289,0,0,0,0,0,0,0,0.4,0.831,
lacrosse,2021,5,174,Ally,Kennedy,Ally Kennedy,15,62,22,3,28,66,13,5,21,1,14,27,49,0,0,0,0,1302,0,0,0,0,0,0,0,0.333,0.742,
lacrosse,2021,5,175,Ella,Simkins,Ella Simkins,15,61,3,0,3,8,13,14,23,0,30,2,5,0,0,0,0,1102,0,0,0,0,0,0,0,0.375,0.625,
lacrosse,2021,5,176,Molly,Garrett,Molly Garrett,15,61,8,1,9,23,15,4,14,0,24,7,15,0,0,0,0,875,0,0,0,0,0,0,0,0.348,0.652,
lacrosse,2021,5,177,Caroline,Wakefield,Caroline Wakefield,15,60,1,1,2,1,10,13,34,0,2,0,1,0,0,0,0,1124,0,0,0,0,0,0,0,1.0,1.0,
lacrosse,2021,5,178,Becca,Block,Becca Block,15,60,0,2,2,1,5,12,22,0,19,0,0,0,0,0,0,1314,0,0,0,0,0,0,0,0.0,0.0,
lacrosse,2021,5,179,Kayla,Wood,Kayla Wood,15,62,1,1,2,2,6,12,27,0,35,0,1,0,0,0,0,1561,0,0,0,0,0,0,0,0.5,0.5,
lacrosse,2021,5,180,Molly,Little,Molly Little,15,60,1,1,2,3,10,5,15,0,4,0,1,0,0,0,0,1029,0,0,0,0,0,0,0,0.333,0.333,
lacrosse,2021,5,181,Lindsey,McKone,Lindsey McKone,15,61,8,13,23,30,26,9,26,1,36,13,21,0,0,0,0,895,0,0,0,0,0,0,0,0.267,0.7,
lacrosse,2021,5,182,Nicole,Levy,Nicole Levy,15,61,20,6,36,46,10,1,14,7,2,12,32,0,0,0,0,1312,0,0,0,0,0,0,0,0.435,0.696,
lacrosse,2021,5,183,Kyra,Pelton,Kyra Pelton,15,60,0,0,0,1,3,3,15,0,2,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0.0,0.0,
lacrosse,2021,5,184,Shayna,Pirreca,Shayna Pirreca,15,61,12,1,22,37,8,0,8,6,1,14,26,0,0,0,0,1153,0,0,0,0,0,0,0,0.324,0.703,
lacrosse,2021,5,185,Izzy,McMahon,Izzy McMahon,15,61,10,7,18,35,9,4,9,0,1,14,24,0,0,0,0,914,0,0,0,0,0,0,0,0.286,0.686,
lacrosse,2021,5,186,Kady,Glynn,Kady Glynn,15,62,0,0,0,0,4,0,11,0,1,0,0,0,0,0,0,1601,15,2,59,58,117,0,0,,,0.504
lacrosse,2021,5,187,Amber,Hill,Amber Hill,15,62,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1145,9,3,41,37,78,0,0,,,0.526
lacrosse,2021,5,188,Kelly,McPartland,Kelly McPartland,15,60,7,5,15,17,5,6,26,0,6,2,9,0,0,0,0,1366,0,0,0,0,0,0,0,0.412,0.529,
lacrosse,2021,5,189,Grace,Gabriel,Grace Gabriel,15,62,8,3,12,28,7,3,7,0,3,7,15,0,0,0,0,969,0,0,0,0,0,0,0,0.286,0.536,
lacrosse,2021,5,190,Mary Kate,Bonanni,Mary Kate Bonanni,15,62,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,,,
lacrosse,2021,5,191,Haley,Hicklen,Haley Hicklen,15,61,0,0,0,0,6,1,9,0,0,0,0,0,0,0,0,958,12,12,62,38,98,0,0,,,0.633
lacrosse,2021,5,192,MC,Byrne,MC Byrne,12,48,1,1,2,4,4,6,8,0,1,2,3,0,0,0,0,950,0,0,0,0,0,0,0,0.25,0.75,
lacrosse,2021,5,193,Amanda,Johansen,Amanda Johansen,9,36,10,6,23,34,17,10,18,5,19,14,24,0,0,0,0,684,0,0,0,0,0,0,0,0.294,0.706,
lacrosse,2021,5,202,Madi,Hall,Madi Hall,6,24,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0.0,0.0,
