sport,season,seasonId,teamId,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2022,17,222,3,168,19,10,30,76,32,25,38,1,32,28,47,0,0,70,70,1684,42,30,26,19,45,8,7,0.25,0.618,0.578
lacrosse,2022,17,223,3,168,34,22,58,83,34,25,42,2,31,29,63,0,0,28,42,5970,42,30,20,28,48,2,4,0.41,0.759,0.417
lacrosse,2022,17,224,3,182,26,16,43,74,34,16,31,1,31,24,50,0,0,70,56,2925,42,30,29,26,55,6,4,0.351,0.676,0.527
lacrosse,2022,17,225,3,182,24,11,38,65,40,17,28,3,32,22,46,0,0,84,84,2691,42,30,28,30,58,6,6,0.369,0.708,0.483
lacrosse,2022,17,226,3,182,27,12,40,68,43,18,33,1,25,14,41,0,0,28,28,2798,42,30,31,39,70,2,2,0.397,0.603,0.443
lacrosse,2022,17,227,3,168,23,7,31,77,34,26,39,1,30,28,51,0,0,14,28,2704,42,30,27,21,48,1,2,0.299,0.662,0.562
lacrosse,2022,17,228,3,182,28,11,41,91,32,26,41,2,35,32,60,0,0,70,126,5240,42,30,19,21,40,7,10,0.308,0.659,0.475
lacrosse,2022,17,229,3,168,25,13,39,86,35,25,48,1,37,30,55,0,0,112,42,2688,42,30,26,23,49,9,4,0.291,0.64,0.531
lacrosse,2022,17,230,3,182,26,12,41,83,36,14,31,3,30,33,59,0,0,0,0,2371,42,30,34,39,73,0,0,0.313,0.711,0.466
lacrosse,2022,17,231,3,168,29,9,38,81,34,30,39,0,38,31,60,0,0,56,28,3579,42,30,23,22,45,4,2,0.358,0.741,0.511
lacrosse,2022,17,232,3,182,24,8,33,82,31,18,40,1,33,27,51,0,0,56,84,2350,42,30,28,27,55,4,6,0.293,0.622,0.509
lacrosse,2022,17,233,3,168,25,7,34,82,40,26,51,2,27,30,55,0,0,56,56,4614,42,30,19,33,52,4,4,0.305,0.671,0.365
lacrosse,2022,17,234,3,168,27,12,44,86,24,19,45,5,31,33,60,0,0,112,56,5144,42,30,23,28,51,8,4,0.314,0.698,0.451
lacrosse,2022,17,235,3,168,25,15,41,84,34,26,41,1,23,31,56,0,0,56,70,4326,42,30,16,31,47,4,5,0.298,0.667,0.34
lacrosse,2022,17,236,3,168,27,12,42,82,24,19,36,3,30,30,57,0,0,56,112,2509,42,30,25,31,56,4,8,0.329,0.695,0.446
lacrosse,2022,17,237,3,168,22,12,38,72,41,18,29,4,40,29,51,0,0,42,28,1311,42,30,37,33,70,3,2,0.306,0.708,0.529
