sport,season,seasonId,teamId,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2021,5,66,3,168,30,16,47,49,38,19,46,1,30,12,42,0,0,0,0,5497,42,30,17,23,40,0,0,0.612,0.857,0.425
lacrosse,2021,5,67,3,156,16,5,22,56,34,14,34,1,28,13,29,0,0,0,0,2085,39,30,26,11,37,0,0,0.286,0.518,0.703
lacrosse,2021,5,68,3,156,20,9,34,67,30,18,50,5,35,19,39,0,0,0,0,1530,39,30,23,14,37,0,0,0.299,0.582,0.622
lacrosse,2021,5,69,3,168,24,4,29,63,32,19,42,1,21,20,44,0,0,0,0,3793,42,30,24,16,40,0,0,0.381,0.698,0.6
lacrosse,2021,5,70,3,182,32,17,50,60,38,14,47,1,34,18,50,0,0,0,0,4541,42,30,28,15,43,0,0,0.533,0.833,0.651
lacrosse,2021,5,71,3,168,28,15,47,75,31,12,51,4,34,25,53,0,0,0,0,2620,42,30,30,24,54,0,0,0.373,0.707,0.556
lacrosse,2021,5,72,3,168,28,17,51,65,34,13,63,6,32,20,48,0,0,0,0,3675,42,30,26,20,46,0,0,0.431,0.738,0.565
lacrosse,2021,5,73,3,182,21,13,39,64,26,15,46,5,30,20,41,0,0,0,0,2518,42,30,25,24,49,0,0,0.328,0.641,0.51
lacrosse,2021,5,74,3,168,20,6,35,56,37,11,37,9,27,23,43,0,0,0,0,3602,42,30,25,24,49,0,0,0.357,0.768,0.51
lacrosse,2021,5,75,3,168,33,17,55,78,27,24,56,5,35,17,50,0,0,0,0,3858,42,30,24,18,42,0,0,0.423,0.641,0.571
lacrosse,2021,5,76,3,168,29,10,42,61,33,13,41,3,33,16,45,0,0,0,0,2033,42,30,34,21,55,0,0,0.475,0.738,0.618
lacrosse,2021,5,77,3,168,23,12,44,72,33,19,48,9,32,22,45,0,0,0,0,3612,42,30,22,17,37,0,0,0.319,0.625,0.595
lacrosse,2021,5,78,3,180,24,15,43,69,29,17,41,4,31,19,43,0,0,0,0,2312,45,30,32,37,67,0,0,0.348,0.623,0.478
lacrosse,2021,5,79,3,168,28,8,37,92,22,20,52,1,32,29,57,0,0,0,0,2712,42,30,29,10,39,0,0,0.304,0.62,0.744
lacrosse,2021,5,80,3,180,31,21,55,72,32,14,46,3,41,16,47,0,0,0,0,4832,45,30,22,22,44,0,0,0.431,0.653,0.5
lacrosse,2021,5,81,3,168,26,11,39,72,24,9,50,2,29,25,51,0,0,0,0,3894,42,30,26,22,48,0,0,0.361,0.708,0.542
lacrosse,2021,5,82,3,168,26,11,39,79,29,15,61,2,30,21,47,0,0,0,0,5106,42,30,14,18,32,0,0,0.329,0.595,0.438
lacrosse,2021,5,83,3,180,22,6,31,61,30,18,50,3,27,21,43,0,0,0,0,2249,45,30,27,28,55,0,0,0.361,0.705,0.491
lacrosse,2021,5,84,3,182,20,3,24,73,26,17,58,1,27,27,47,0,0,0,0,3556,42,30,20,24,44,0,0,0.274,0.644,0.455
lacrosse,2021,5,85,3,182,23,10,34,74,29,14,51,1,27,28,51,0,0,0,0,2365,42,30,30,27,57,0,0,0.311,0.689,0.526
