sport,season,seasonId,team_id,G,sets_played,kills,attack_errors,attack_attempts,assists,setting_errors,service_errors,service_aces,total_reception_attempts,reception_errors,digs,blocks,au_total_points,kills_per_set,attack_percentage,assists_per_set,service_aces_per_set,digs_per_set,blocks_per_set
volleyball,2022,11,126,3,67,120,48,360,108,1,10,21,188,11,163,28,6081,1.791,0.2,1.612,0.313,2.433,0.418
volleyball,2022,11,127,3,75,136,64,390,130,6,15,11,200,6,183,20,4062,1.813,0.185,1.733,0.147,2.44,0.267
volleyball,2022,11,128,3,74,125,47,380,117,5,9,16,210,13,154,23,3635,1.689,0.205,1.581,0.216,2.081,0.311
volleyball,2022,11,129,3,72,128,44,331,117,2,11,10,183,12,145,26,5486,1.778,0.254,1.625,0.139,2.014,0.361
volleyball,2022,11,130,3,68,107,47,326,100,3,13,20,181,8,146,21,4000,1.574,0.184,1.471,0.294,2.147,0.309
volleyball,2022,11,131,3,63,150,44,371,138,4,13,13,189,9,177,11,5731,2.381,0.286,2.19,0.206,2.81,0.175
volleyball,2022,11,132,3,77,135,39,365,126,2,8,15,191,15,165,28,5300,1.753,0.263,1.636,0.195,2.143,0.364
volleyball,2022,11,133,3,70,131,44,365,122,2,16,22,193,9,152,15,4058,1.871,0.238,1.743,0.314,2.171,0.214
volleyball,2022,11,134,3,73,115,45,321,102,3,10,17,190,10,145,12,2637,1.575,0.218,1.397,0.233,1.986,0.164
volleyball,2022,11,135,3,75,131,59,410,120,4,7,11,196,13,189,22,3604,1.747,0.176,1.6,0.147,2.52,0.293
volleyball,2022,11,136,3,73,131,34,380,125,6,15,23,182,5,174,24,7383,1.795,0.255,1.712,0.315,2.384,0.329
volleyball,2022,11,137,3,71,122,50,367,115,5,10,24,190,10,171,26,5263,1.718,0.196,1.62,0.338,2.408,0.366
volleyball,2022,11,138,3,73,109,56,389,99,2,7,21,197,9,180,15,2291,1.493,0.136,1.356,0.288,2.466,0.205
volleyball,2022,11,139,3,69,126,27,349,118,2,10,13,178,8,155,29,6213,1.826,0.284,1.71,0.188,2.246,0.42
volleyball,2022,11,140,3,81,124,34,380,115,3,15,16,166,9,169,16,6025,1.531,0.237,1.42,0.198,2.086,0.198
volleyball,2022,11,141,3,70,143,52,383,133,5,8,20,192,11,196,11,4673,2.043,0.238,1.9,0.286,2.8,0.157
volleyball,2022,11,142,3,71,143,41,386,140,1,11,13,185,8,199,16,6981,2.014,0.264,1.972,0.183,2.803,0.225
volleyball,2022,11,143,3,71,119,45,390,111,6,6,18,195,4,179,32,3073,1.676,0.19,1.563,0.254,2.521,0.451
volleyball,2022,11,144,3,75,129,60,409,115,7,11,12,195,9,198,20,3560,1.72,0.169,1.533,0.16,2.64,0.267
volleyball,2022,11,145,3,86,132,45,387,121,2,8,24,201,11,165,18,4966,1.535,0.225,1.407,0.279,1.919,0.209
