sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2023,105,1,1,Championship,352,,,None,,,None,None,None None,56,8,3,13,28,14,15,18,0.29,2,11,0.68,11,19,0,0,0,28,818,14,10,10,6,0.38,16,0,4
lacrosse,v1,2023,105,1,1,Championship,351,,,None,,,None,None,None None,56,10,3,14,23,16,8,15,0.43,1,11,0.7,6,16,0,0,28,0,1405,14,10,8,11,0.58,19,2,0
lacrosse,v1,2023,105,1,2,Championship,350,,,None,,,None,None,None None,56,8,5,13,17,13,10,17,0.47,0,4,0.94,8,16,0,0,0,28,1735,14,10,4,13,0.76,17,0,2
lacrosse,v1,2023,105,1,2,Championship,353,,,None,,,None,None,None None,56,4,0,4,31,12,8,12,0.13,0,11,0.55,13,17,0,0,28,0,390,14,10,8,8,0.5,16,2,0
lacrosse,v1,2023,105,1,3,Championship,353,,,None,,,None,None,None None,56,13,8,22,27,18,10,12,0.48,1,11,0.67,5,18,0,0,0,0,2074,14,10,8,14,0.64,22,0,0
lacrosse,v1,2023,105,1,3,Championship,351,,,None,,,None,None,None None,56,8,3,11,31,13,12,19,0.26,0,14,0.71,14,22,0,0,0,0,171,14,10,13,5,0.28,18,0,0
lacrosse,v1,2023,105,1,4,Championship,352,,,None,,,None,None,None None,56,6,2,8,28,10,8,15,0.21,0,11,0.54,9,15,0,0,28,56,978,14,10,7,6,0.46,13,4,8
lacrosse,v1,2023,105,1,4,Championship,350,,,None,,,None,None,None None,56,7,2,9,17,10,10,13,0.41,0,6,0.76,6,13,0,0,56,28,1191,14,10,6,9,0.6,15,4,2
lacrosse,v1,2023,105,1,5,Championship,353,,,None,,,None,None,None None,56,13,9,23,30,10,10,15,0.43,1,13,0.67,7,20,0,0,28,14,1545,14,10,9,7,0.44,16,2,1
lacrosse,v1,2023,105,1,5,Championship,352,,,None,,,None,None,None None,56,9,3,13,25,12,7,12,0.36,1,13,0.64,7,16,0,0,14,28,733,14,10,13,7,0.35,20,2,4
lacrosse,v1,2023,105,1,6,Championship,351,,,None,,,None,None,None None,56,8,3,12,27,7,7,13,0.3,1,8,0.67,10,18,0,0,28,28,2033,14,10,2,7,0.78,9,2,2
lacrosse,v1,2023,105,1,6,Championship,350,,,None,,,None,None,None None,56,2,1,3,19,11,7,10,0.11,0,6,0.47,7,9,0,0,28,28,64,14,10,8,10,0.56,18,2,2
