sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2022,17,1,1,Championship,224,,,None,,,None,None,None None,56,10,5,15,27,12,4,11,0.37,0,13,0.67,8,18,0,0,14,0,454,14,10,13,8,0.38,21,2,0
lacrosse,v1,2022,17,1,1,Championship,223,,,None,,,None,None,None None,56,13,8,22,25,12,9,14,0.52,1,14,0.84,8,21,0,0,0,14,1823,14,10,10,8,0.44,18,0,2
lacrosse,v1,2022,17,1,2,Championship,222,,,None,,,None,None,None None,56,8,4,12,28,12,8,15,0.29,0,11,0.61,9,17,0,0,42,28,715,14,10,9,3,0.25,12,6,4
lacrosse,v1,2022,17,1,2,Championship,225,,,None,,,None,None,None None,56,9,5,17,15,10,6,8,0.6,3,9,0.8,3,12,0,0,28,42,1478,14,10,8,9,0.53,17,2,3
lacrosse,v1,2022,17,1,3,Championship,225,,,None,,,None,None,None None,56,5,3,8,21,19,7,10,0.24,0,12,0.71,10,15,0,0,14,28,109,14,10,12,13,0.52,25,1,2
lacrosse,v1,2022,17,1,3,Championship,223,,,None,,,None,None,None None,56,12,7,19,31,12,9,16,0.39,0,9,0.81,13,25,0,0,28,14,2084,14,10,5,10,0.67,15,2,1
lacrosse,v1,2022,17,1,4,Championship,224,,,None,,,None,None,None None,56,8,5,13,23,9,8,11,0.35,0,7,0.7,8,16,0,0,42,14,1476,14,10,6,9,0.6,15,3,1
lacrosse,v1,2022,17,1,4,Championship,222,,,None,,,None,None,None None,56,6,4,11,22,11,8,13,0.27,1,11,0.68,9,15,0,0,14,42,726,14,10,8,8,0.5,16,1,3
lacrosse,v1,2022,17,1,5,Championship,225,,,None,,,None,None,None None,70,10,3,13,29,11,4,10,0.34,0,11,0.66,9,19,0,0,42,14,1104,14,10,8,8,0.5,16,3,1
lacrosse,v1,2022,17,1,5,Championship,224,,,None,,,None,None,None None,70,8,6,15,24,13,4,9,0.33,1,11,0.67,8,16,0,0,14,42,995,14,10,10,9,0.47,19,1,3
lacrosse,v1,2022,17,1,6,Championship,223,,,None,,,None,None,None None,56,9,7,17,27,10,7,12,0.33,1,8,0.63,8,17,0,0,0,14,2063,14,10,5,10,0.67,15,0,1
lacrosse,v1,2022,17,1,6,Championship,222,,,None,,,None,None,None None,56,5,2,7,26,9,9,10,0.19,0,10,0.58,10,15,0,0,14,0,243,14,10,9,8,0.47,17,1,0
lacrosse,v1,2022,17,2,7,Championship,228,,,None,,,None,None,None None,56,11,3,15,29,13,13,15,0.38,1,11,0.69,9,20,0,0,28,14,2066,14,10,5,7,0.58,12,4,2
lacrosse,v1,2022,17,2,7,Championship,227,,,None,,,None,None,None None,56,5,2,8,21,16,3,13,0.24,1,9,0.57,7,12,0,0,14,28,94,14,10,11,9,0.45,20,1,2
lacrosse,v1,2022,17,2,8,Championship,226,,,None,,,None,None,None None,56,12,5,17,27,14,6,10,0.44,0,10,0.63,5,17,0,0,14,14,1486,14,10,10,13,0.57,23,1,1
lacrosse,v1,2022,17,2,8,Championship,229,,,None,,,None,None,None None,56,10,6,16,31,11,11,19,0.32,0,15,0.74,13,23,0,0,14,14,808,14,10,12,5,0.29,17,2,2
lacrosse,v1,2022,17,2,9,Championship,229,,,None,,,None,None,None None,56,11,5,16,25,14,7,15,0.44,0,14,0.68,6,17,0,0,0,0,1467,14,10,7,9,0.56,16,0,0
lacrosse,v1,2022,17,2,9,Championship,227,,,None,,,None,None,None None,56,7,0,7,28,10,11,14,0.25,0,8,0.57,9,16,0,0,0,0,769,14,10,11,6,0.35,17,0,0
lacrosse,v1,2022,17,2,10,Championship,228,,,None,,,None,None,None None,70,10,5,15,36,9,10,13,0.28,0,17,0.67,14,24,0,0,14,14,1474,14,10,10,3,0.23,13,1,1
lacrosse,v1,2022,17,2,10,Championship,226,,,None,,,None,None,None None,70,10,4,14,19,15,8,12,0.53,0,8,0.68,3,13,0,0,14,14,798,14,10,10,14,0.58,24,1,1
lacrosse,v1,2022,17,2,11,Championship,229,,,None,,,None,None,None None,56,4,2,7,30,10,7,14,0.13,1,8,0.5,11,15,0,0,98,28,413,14,10,7,9,0.56,16,7,2
lacrosse,v1,2022,17,2,11,Championship,228,,,None,,,None,None,None None,56,7,3,11,26,10,3,13,0.27,1,7,0.62,9,16,0,0,28,98,1700,14,10,4,11,0.73,15,2,7
lacrosse,v1,2022,17,2,12,Championship,227,,,None,,,None,None,None None,56,11,5,16,28,8,12,12,0.39,0,13,0.82,12,23,0,0,0,0,1841,14,10,5,6,0.55,11,0,0
lacrosse,v1,2022,17,2,12,Championship,226,,,None,,,None,None,None None,56,5,3,9,22,14,4,11,0.23,1,7,0.5,6,11,0,0,0,0,514,14,10,11,12,0.52,23,0,0
lacrosse,v1,2022,17,3,13,Championship,232,,,None,,,None,None,None None,56,7,2,10,19,10,3,11,0.37,1,10,0.58,4,11,0,0,28,28,680,14,10,11,7,0.39,18,2,2
lacrosse,v1,2022,17,3,13,Championship,231,,,None,,,None,None,None None,56,11,2,13,26,9,10,9,0.42,0,12,0.69,7,18,0,0,28,28,1417,14,10,7,4,0.36,11,2,2
lacrosse,v1,2022,17,3,14,Championship,230,,,None,,,None,None,None None,56,7,1,9,32,12,2,9,0.22,1,12,0.63,13,20,0,0,0,0,422,14,10,11,12,0.52,23,0,0
lacrosse,v1,2022,17,3,14,Championship,233,,,None,,,None,None,None None,56,11,3,14,30,8,7,16,0.37,0,10,0.77,12,23,0,0,0,0,1673,14,10,7,13,0.65,20,0,0
lacrosse,v1,2022,17,3,15,Championship,233,,,None,,,None,None,None None,56,8,2,11,22,16,10,16,0.36,1,9,0.73,8,16,0,0,0,28,1368,14,10,8,11,0.58,19,0,2
lacrosse,v1,2022,17,3,15,Championship,231,,,None,,,None,None,None None,56,8,3,11,28,11,9,13,0.29,0,11,0.68,11,19,0,0,28,0,725,14,10,8,8,0.5,16,2,0
lacrosse,v1,2022,17,3,16,Championship,232,,,None,,,None,None,None None,70,13,6,19,37,7,6,13,0.35,0,17,0.73,14,27,0,0,0,0,1244,14,10,11,10,0.48,21,0,0
lacrosse,v1,2022,17,3,16,Championship,230,,,None,,,None,None,None None,70,11,6,18,29,9,3,8,0.38,1,11,0.72,10,21,0,0,0,0,1075,14,10,13,14,0.52,27,0,0
lacrosse,v1,2022,17,3,17,Championship,233,,,None,,,None,None,None None,56,6,2,9,30,16,9,19,0.2,1,8,0.53,10,16,0,0,56,28,1573,14,10,4,9,0.69,13,4,2
lacrosse,v1,2022,17,3,17,Championship,232,,,None,,,None,None,None None,56,4,0,4,26,14,9,16,0.15,0,6,0.5,9,13,0,0,28,56,426,14,10,6,10,0.63,16,2,4
lacrosse,v1,2022,17,3,18,Championship,231,,,None,,,None,None,None None,56,10,4,14,27,14,11,17,0.37,0,15,0.85,13,23,0,0,0,0,1437,14,10,8,10,0.56,18,0,0
lacrosse,v1,2022,17,3,18,Championship,230,,,None,,,None,None,None None,56,8,5,14,22,15,9,14,0.36,1,7,0.82,10,18,0,0,0,0,874,14,10,10,13,0.57,23,0,0
lacrosse,v1,2022,17,4,19,Championship,236,,,None,,,None,None,None None,56,3,2,7,26,10,6,14,0.12,2,7,0.54,11,14,0,0,14,56,406,14,10,7,9,0.56,16,1,4
lacrosse,v1,2022,17,4,19,Championship,235,,,None,,,None,None,None None,56,7,5,13,24,10,3,17,0.29,1,7,0.67,9,16,0,0,56,14,1694,14,10,3,11,0.79,14,4,1
lacrosse,v1,2022,17,4,20,Championship,234,,,None,,,None,None,None None,56,11,6,19,30,5,10,15,0.37,2,8,0.8,13,24,0,0,28,14,1844,14,10,7,7,0.5,14,2,1
lacrosse,v1,2022,17,4,20,Championship,237,,,None,,,None,None,None None,56,7,4,12,19,15,4,8,0.37,1,13,0.74,7,14,0,0,14,28,414,14,10,11,13,0.54,24,1,2
lacrosse,v1,2022,17,4,21,Championship,237,,,None,,,None,None,None None,56,5,3,8,24,16,11,10,0.21,0,10,0.58,9,14,0,0,28,0,153,14,10,11,11,0.5,22,2,0
lacrosse,v1,2022,17,4,21,Championship,235,,,None,,,None,None,None None,56,11,5,16,34,15,13,12,0.32,0,10,0.65,11,22,0,0,0,28,2095,14,10,5,9,0.64,14,0,2
lacrosse,v1,2022,17,4,22,Championship,236,,,None,,,None,None,None None,56,9,3,12,26,6,6,11,0.35,0,11,0.73,10,19,0,0,42,56,514,14,10,8,9,0.53,17,3,4
lacrosse,v1,2022,17,4,22,Championship,234,,,None,,,None,None,None None,56,8,4,14,28,8,4,13,0.29,2,10,0.61,9,17,0,0,56,42,1616,14,10,9,10,0.53,19,4,3
lacrosse,v1,2022,17,4,23,Championship,237,,,None,,,None,None,None None,56,10,5,18,29,10,3,11,0.34,3,17,0.79,13,23,0,0,0,0,744,14,10,15,9,0.38,24,0,0
lacrosse,v1,2022,17,4,23,Championship,236,,,None,,,None,None,None None,56,15,7,23,30,8,7,11,0.5,1,12,0.8,9,24,0,0,0,0,1589,14,10,10,13,0.57,23,0,0
lacrosse,v1,2022,17,4,24,Championship,235,,,None,,,None,None,None None,56,7,5,12,26,9,10,12,0.27,0,6,0.69,11,18,0,0,0,28,537,14,10,8,11,0.58,19,0,2
lacrosse,v1,2022,17,4,24,Championship,234,,,None,,,None,None,None None,56,8,2,11,28,11,5,17,0.29,1,13,0.68,11,19,0,0,28,0,1684,14,10,7,11,0.61,18,2,0
