sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2021,5,1,1,Championship,67,,,None,,,None,None,None None,52,3,1,4,21,12,6,12,0.14,0,7,0.38,5,8,,,,,72,13,10,11,4,0.27,15,,
lacrosse,v1,2021,5,1,1,Championship,66,,,None,,,None,None,None None,56,11,4,15,17,14,8,18,0.65,0,11,0.88,4,15,,,,,2034,14,10,3,5,0.63,8,,
lacrosse,v1,2021,5,1,2,Championship,68,,,None,,,None,None,None None,52,7,3,10,25,12,6,14,0.28,0,16,0.6,8,15,,,,,434,13,10,8,6,0.43,14,,
lacrosse,v1,2021,5,1,2,Championship,69,,,None,,,None,None,None None,56,8,3,11,18,11,7,12,0.44,0,3,0.78,6,14,,,,,1693,14,10,7,8,0.53,15,,
lacrosse,v1,2021,5,1,3,Championship,69,,,None,,,None,None,None None,56,7,0,7,28,10,5,19,0.25,0,12,0.68,12,19,,,,,419,14,10,11,3,0.21,14,,
lacrosse,v1,2021,5,1,3,Championship,66,,,None,,,None,None,None None,56,11,6,17,16,13,4,11,0.69,0,10,0.88,3,14,,,,,1731,14,10,7,12,0.63,19,,
lacrosse,v1,2021,5,1,4,Championship,68,,,None,,,None,None,None None,52,6,4,13,21,8,3,21,0.29,3,9,0.52,5,11,,,,,641,13,10,7,3,0.3,10,,
lacrosse,v1,2021,5,1,4,Championship,67,,,None,,,None,None,None None,52,7,1,9,17,9,4,10,0.41,1,8,0.59,3,10,,,,,1317,13,10,6,5,0.45,11,,
lacrosse,v1,2021,5,1,5,Championship,66,,,None,,,None,None,None None,56,8,6,15,16,11,7,17,0.5,1,9,0.81,5,13,,,,,1732,14,10,7,6,0.46,13,,
lacrosse,v1,2021,5,1,5,Championship,68,,,None,,,None,None,None None,52,7,2,11,21,10,9,15,0.33,2,10,0.62,6,13,,,,,455,13,10,8,5,0.38,13,,
lacrosse,v1,2021,5,1,6,Championship,69,,,None,,,None,None,None None,56,9,1,11,17,11,7,11,0.53,1,6,0.65,2,11,,,,,1681,14,10,6,5,0.45,11,,
