sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2021,5,1,6,Championship,67,,,None,,,None,None,None None,52,6,3,9,18,13,4,12,0.33,0,13,0.61,5,11,,,,,696,13,10,9,2,0.18,11,,
lacrosse,v1,2021,5,2,7,Championship,70,,,None,,,None,None,None None,56,12,8,20,21,14,3,14,0.57,0,15,0.81,5,17,,,,,1438,14,10,11,6,0.35,17,,
lacrosse,v1,2021,5,2,7,Championship,71,,,None,,,None,None,None None,56,11,9,21,21,11,5,16,0.52,1,12,0.81,6,17,,,,,777,14,10,12,5,0.29,17,,
lacrosse,v1,2021,5,2,8,Championship,73,,,None,,,None,None,None None,56,6,3,12,16,10,3,13,0.38,3,9,0.69,5,11,,,,,672,14,10,8,7,0.47,15,,
lacrosse,v1,2021,5,2,8,Championship,72,,,None,,,None,None,None None,56,8,7,17,23,9,5,22,0.35,2,9,0.65,7,15,,,,,1464,14,10,6,5,0.45,11,,
lacrosse,v1,2021,5,2,9,Championship,70,,,None,,,None,None,None None,70,8,4,12,18,12,3,17,0.44,0,8,0.83,7,15,,,,,1322,14,10,7,3,0.3,10,,
lacrosse,v1,2021,5,2,9,Championship,73,,,None,,,None,None,None None,70,7,5,13,21,8,7,17,0.33,1,10,0.48,3,10,,,,,804,14,10,8,7,0.47,15,,
lacrosse,v1,2021,5,2,10,Championship,71,,,None,,,None,None,None None,56,8,3,12,27,12,3,18,0.3,1,13,0.63,9,17,,,,,404,14,10,10,7,0.41,17,,
lacrosse,v1,2021,5,2,10,Championship,72,,,None,,,None,None,None None,56,10,2,14,22,12,4,20,0.45,2,9,0.77,7,17,,,,,1738,14,10,8,9,0.53,17,,
lacrosse,v1,2021,5,2,11,Championship,72,,,None,,,None,None,None None,56,10,8,20,20,13,4,21,0.5,2,14,0.8,6,16,,,,,473,14,10,12,6,0.33,18,,
lacrosse,v1,2021,5,2,11,Championship,70,,,None,,,None,None,None None,56,12,5,18,21,12,8,16,0.57,1,11,0.86,6,18,,,,,1781,14,10,10,6,0.38,16,,
lacrosse,v1,2021,5,2,12,Championship,71,,,None,,,None,None,None None,56,9,3,14,27,8,4,17,0.33,2,9,0.7,10,19,,,,,1439,14,10,8,12,0.6,20,,
lacrosse,v1,2021,5,2,12,Championship,73,,,None,,,None,None,None None,56,8,5,14,27,8,5,16,0.3,1,11,0.74,12,20,,,,,1042,14,10,9,10,0.53,19,,
lacrosse,v1,2021,5,3,13,Championship,75,,,None,,,None,None,None None,56,9,8,18,26,11,11,23,0.35,1,10,0.65,8,17,,,,,1247,14,10,5,8,0.62,13,,
lacrosse,v1,2021,5,3,13,Championship,74,,,None,,,None,None,None None,56,5,1,9,19,14,4,8,0.26,3,7,0.68,8,13,,,,,931,14,10,9,8,0.47,17,,
lacrosse,v1,2021,5,3,14,Championship,76,,,None,,,None,None,None None,56,8,1,10,17,13,5,11,0.47,1,9,0.71,4,12,,,,,127,14,10,9,8,0.47,17,,
lacrosse,v1,2021,5,3,14,Championship,77,,,None,,,None,None,None None,56,9,3,14,29,9,6,15,0.31,2,12,0.59,8,17,,,,,2014,14,10,8,4,0.33,12,,
lacrosse,v1,2021,5,3,15,Championship,77,,,None,,,None,None,None None,56,5,4,11,22,14,7,16,0.23,2,8,0.64,9,14,,,,,102,14,10,6,5,0.45,11,,
lacrosse,v1,2021,5,3,15,Championship,74,,,None,,,None,None,None None,56,6,3,11,15,12,3,17,0.4,2,7,0.73,5,11,,,,,1955,14,10,5,9,0.64,14,,
lacrosse,v1,2021,5,3,16,Championship,76,,,None,,,None,None,None None,56,10,4,16,21,11,1,12,0.48,2,14,0.71,5,15,,,,,384,14,10,16,3,0.16,19,,
lacrosse,v1,2021,5,3,16,Championship,75,,,None,,,None,None,None None,56,16,6,25,28,5,8,13,0.57,3,16,0.68,3,19,,,,,1904,14,10,10,5,0.33,15,,
lacrosse,v1,2021,5,3,17,Championship,74,,,None,,,None,None,None None,56,9,2,15,22,11,4,12,0.41,4,13,0.86,10,19,,,,,716,14,10,11,7,0.39,18,,
lacrosse,v1,2021,5,3,17,Championship,76,,,None,,,None,None,None None,56,11,5,16,23,9,7,18,0.48,0,10,0.78,7,18,,,,,1522,14,10,9,10,0.53,19,,
lacrosse,v1,2021,5,3,18,Championship,77,,,None,,,None,None,None None,56,9,5,19,21,10,6,17,0.43,5,12,0.67,5,14,,,,,1496,14,10,8,8,0.57,14,,
lacrosse,v1,2021,5,3,18,Championship,75,,,None,,,None,None,None None,56,8,3,12,24,11,5,20,0.33,1,9,0.58,6,14,,,,,707,14,10,9,5,0.36,14,,
lacrosse,v1,2021,5,4,19,Championship,78,,,None,,,None,None,None None,60,11,5,18,25,10,5,10,0.44,2,11,0.56,3,14,,,,,1908,15,10,8,15,0.65,23,,
lacrosse,v1,2021,5,4,19,Championship,79,,,None,,,None,None,None None,56,8,1,9,36,8,5,14,0.22,0,11,0.64,15,23,,,,,418,14,10,11,3,0.21,14,,
lacrosse,v1,2021,5,4,20,Championship,81,,,None,,,None,None,None None,56,6,2,8,22,5,4,13,0.27,0,6,0.64,8,14,,,,,462,14,10,9,6,0.4,15,,
lacrosse,v1,2021,5,4,20,Championship,80,,,None,,,None,None,None None,60,9,6,16,23,12,2,10,0.39,1,13,0.65,6,15,,,,,1760,15,10,6,8,0.57,14,,
lacrosse,v1,2021,5,4,21,Championship,78,,,None,,,None,None,None None,60,6,4,10,21,10,3,11,0.29,0,12,0.67,8,14,,,,,176,15,10,9,16,0.7,23,,
lacrosse,v1,2021,5,4,21,Championship,81,,,None,,,None,None,None None,56,9,2,11,31,5,2,19,0.29,0,7,0.74,14,23,,,,,1991,14,10,6,8,0.57,14,,
lacrosse,v1,2021,5,4,22,Championship,79,,,None,,,None,None,None None,56,9,4,14,32,7,5,21,0.28,1,11,0.47,6,15,,,,,1451,14,10,7,4,0.36,11,,
lacrosse,v1,2021,5,4,22,Championship,80,,,None,,,None,None,None None,60,7,4,12,18,10,5,14,0.39,1,9,0.61,4,11,,,,,779,15,10,9,6,0.4,15,,
lacrosse,v1,2021,5,4,23,Championship,80,,,None,,,None,None,None None,60,15,11,27,31,10,7,22,0.48,1,19,0.68,6,21,,,,,2293,15,10,7,8,0.53,15,,
lacrosse,v1,2021,5,4,23,Championship,78,,,None,,,None,None,None None,60,7,6,15,23,9,9,20,0.3,2,8,0.65,8,15,,,,,228,15,10,15,6,0.29,21,,
lacrosse,v1,2021,5,4,24,Championship,79,,,None,,,None,None,None None,56,11,3,14,24,7,10,17,0.46,0,10,0.79,8,19,,,,,843,14,10,11,3,0.21,14,,
lacrosse,v1,2021,5,4,24,Championship,81,,,None,,,None,None,None None,56,11,7,20,19,14,3,18,0.58,2,16,0.74,3,14,,,,,1441,14,10,11,8,0.42,19,,
lacrosse,v1,2021,5,5,25,Championship,85,,,None,,,None,None,None None,56,6,1,7,22,11,4,15,0.27,0,7,0.55,6,12,,,,,149,14,10,12,8,0.4,20,,
lacrosse,v1,2021,5,5,25,Championship,82,,,None,,,None,None,None None,56,12,3,16,30,11,4,24,0.4,1,13,0.67,8,20,,,,,2003,14,10,6,6,0.5,12,,
lacrosse,v1,2021,5,5,26,Championship,84,,,None,,,None,None,None None,56,9,2,12,28,9,7,20,0.32,1,14,0.75,12,21,,,,,1744,14,10,7,5,0.42,12,,
lacrosse,v1,2021,5,5,26,Championship,83,,,None,,,None,None,None None,60,7,2,11,18,11,7,15,0.39,2,6,0.67,5,12,,,,,506,15,10,9,12,0.57,21,,
lacrosse,v1,2021,5,5,27,Championship,82,,,None,,,None,None,None None,56,8,5,13,30,6,8,22,0.27,0,9,0.53,8,16,,,,,1760,14,10,4,4,0.5,8,,
lacrosse,v1,2021,5,5,27,Championship,84,,,None,,,None,None,None None,56,4,1,5,18,10,4,18,0.22,0,6,0.44,4,8,,,,,410,14,10,8,8,0.5,16,,
lacrosse,v1,2021,5,5,28,Championship,85,,,None,,,None,None,None None,56,12,8,20,29,8,7,20,0.41,0,11,0.79,11,23,,,,,1493,14,10,11,8,0.42,19,,
lacrosse,v1,2021,5,5,28,Championship,83,,,None,,,None,None,None None,60,11,3,14,25,11,3,21,0.44,0,15,0.76,8,19,,,,,862,15,10,12,11,0.48,23,,
lacrosse,v1,2021,5,5,29,Championship,84,,,None,,,None,None,None None,70,7,0,7,27,7,6,20,0.26,0,7,0.67,11,18,,,,,1402,14,10,5,11,0.69,16,,
lacrosse,v1,2021,5,5,29,Championship,85,,,None,,,None,None,None None,70,5,1,7,23,10,3,16,0.22,1,9,0.7,11,16,,,,,723,14,10,7,11,0.61,18,,
lacrosse,v1,2021,5,5,30,Championship,83,,,None,,,None,None,None None,60,4,1,6,18,8,8,14,0.22,1,6,0.67,8,12,,,,,881,15,10,6,5,0.45,11,,
lacrosse,v1,2021,5,5,30,Championship,82,,,None,,,None,None,None None,56,6,3,10,19,12,3,15,0.32,1,8,0.58,5,11,,,,,1343,14,10,4,8,0.67,12,,
