sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
aux_softball,v1,2023,106,0,0,,3,1,1,OF,,Victoria,Hayward,Victoria Hayward,1,1,1,1,,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0.0,0.75,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CF,7.0,7.0,1,0,0,0,1.0,0,0.0,1,1,1.2857142857142858,Player,367,0
aux_softball,v1,2023,106,0,0,,22,20,20,IF,,Caleigh,Clifton,Caleigh Clifton,1,1,1,1,,4,2,0,0,0,0,0,1,0,2,0,0,0,0,0.0,0.5,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SS,7.0,7.0,1,1,0,1,1.0,0,0.0,2,2,2.5714285714285716,Player,367,0
aux_softball,v1,2023,106,0,0,,34,41,41,C,,Jordan,Roberts,Jordan Roberts,,,0,,,1,1,0,0,0,0,0,0,0,0,1,,,0,0.0,0.0,0.0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,367,0
aux_softball,v1,2023,106,0,0,,294,35,35,OF,,Nicole,Mendes,Nicole Mendes,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,RF,3.2,3.667,0,0,0,0,0.0,0,0.0,0,0,0.0,Player,367,0
aux_softball,v1,2023,106,0,0,,199,15,15,C,,Dejah,Mulipola,Dejah Mulipola,1,1,1,1,,4,3,0,0,0,0,0,1,0,0,1,,,0,0.0,0.0,0.0,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,C,7.0,7.0,8,0,0,0,1.0,0,0.0,8,8,10.285714285714286,Player,367,0
aux_softball,v1,2023,106,0,0,,69,75,75,IF,,Aubrey,Leach,Aubrey Leach,1,1,1,1,,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0.5,0.5,1.25,5,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2B,7.0,7.0,2,2,0,1,1.0,0,0.0,4,4,5.142857142857143,Player,367,0
aux_softball,v1,2023,106,0,0,,29,29,29,IF,C,Tori,Vidales,Tori Vidales,1,1,1,1,,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.5,2,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1B,7.0,7.0,3,0,0,0,1.0,0,0.0,3,3,3.857142857142857,Player,367,0
aux_softball,v1,2023,106,0,0,,656,80,80,RHP,,Megan,Faraimo,Megan Faraimo,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,190,1,0,0.0,0,0,0,3.1,3.333,0,2,0,0,0,0,3,0,0,0.6000600060006,5.4005400540054005,0.0,0.0,8.1008100810081,inf,0.0,45,14,31,58.999,P,3.1,3.333,1,0,0,0,1.0,0,0.0,1,1,2.7002700270027002,Player,367,0
aux_softball,v1,2023,106,0,0,,10,8,8,RHP,,Aleshia,Ocasio,Aleshia Ocasio,1,1,1,1,1,3,2,0,0,0,0,0,1,0,0,1,,,0,0.0,0.0,0.0,0,1,0,124,0,0,7.6362944,0,0,0,3.2,3.667,0,4,4,4,2,3,5,0,0,1.9089173711480776,9.817289337332971,4.9086446686664855,7.362967002999728,12.271611671666212,1.6666666666666667,9.81728933733297,58,24,34,39.001000000000005,P,3.2,3.667,0,1,0,0,1.0,0,0.0,1,1,2.4543223343332428,Player,367,0
aux_softball,v1,2023,106,0,0,,167,68,68,DP,,Courtney,Gano,Courtney Gano,,,1,,,4,4,1,3,1,0,0,1,0,0,0,0,0,0,0.75,0.75,1.0,4,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,367,0
