sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Team,88,0,2022,6,1,1,Championship,,,None,,,None,None,None None,,200,29,74,0.392,5,23,0.217,24,51,0.471,8,10,0.8,11,22,33,9,7,5,18,71,916,0.426,0.453,13,3,4,4,3,4,,,271.09999999999997
basketball,v1,Team,87,1,2022,6,1,1,Championship,,,None,,,None,None,None None,,200,30,72,0.417,3,22,0.136,27,50,0.54,17,23,0.739,17,32,49,10,12,0,16,80,3612,0.438,0.487,3,13,4,4,4,3,,,112.5
basketball,v1,Team,86,0,2022,6,1,2,Championship,,,None,,,None,None,None None,,200,33,71,0.465,7,21,0.333,26,50,0.52,12,15,0.8,8,28,36,12,8,4,13,85,1264,0.514,0.548,10,8,4,4,0,1,,,251.95999999999998
basketball,v1,Team,89,1,2022,6,1,2,Championship,,,None,,,None,None,None None,,200,36,81,0.444,7,20,0.35,29,61,0.475,13,19,0.684,12,28,40,18,9,3,10,92,3744,0.488,0.515,8,10,4,4,1,0,,,249.87
basketball,v1,Team,89,0,2022,6,1,3,Championship,,,None,,,None,None,None None,,250,39,78,0.5,11,24,0.458,28,54,0.519,21,22,0.955,8,38,46,27,9,1,23,110,2987,0.571,0.627,8,11,10,7,2,1,,,181.32
basketball,v1,Team,87,1,2022,6,1,3,Championship,,,None,,,None,None,None None,,250,39,91,0.429,7,33,0.212,32,58,0.552,19,20,0.95,13,27,40,18,15,2,14,104,1918,0.467,0.521,11,8,7,10,1,2,,,236.37999999999997
basketball,v1,Team,88,0,2022,6,1,4,Championship,,,None,,,None,None,None None,,201,40,78,0.513,7,21,0.333,33,57,0.579,16,19,0.842,11,30,41,23,8,2,16,103,1602,0.558,0.596,13,10,3,6,2,1,,,217.83999999999997
basketball,v1,Team,86,1,2022,6,1,4,Championship,,,None,,,None,None,None None,,200,37,74,0.5,13,30,0.433,24,44,0.545,21,24,0.875,4,27,31,23,9,3,11,108,3871,0.588,0.639,10,13,6,3,1,2,,,252.97999999999996
basketball,v1,Team,89,0,2022,6,1,5,Championship,,,None,,,None,None,None None,,200,31,66,0.47,7,18,0.389,24,48,0.5,15,20,0.75,5,24,29,12,7,2,7,84,3052,0.523,0.561,8,10,0,2,2,0,,,178.18
basketball,v1,Team,88,1,2022,6,1,5,Championship,,,None,,,None,None,None None,,200,29,57,0.509,9,17,0.529,20,40,0.5,11,14,0.786,4,28,32,18,2,4,16,78,1812,0.588,0.617,10,8,2,0,0,2,,,209.11999999999998
