sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Team,87,0,2022,6,1,6,Championship,,,None,,,None,None,None None,,201,33,72,0.458,4,12,0.333,29,60,0.483,9,13,0.692,8,28,36,18,10,5,15,79,3540,0.486,0.508,2,6,4,6,0,0,,,287.0
basketball,v1,Team,86,1,2022,6,1,6,Championship,,,None,,,None,None,None None,,200,31,73,0.425,5,17,0.294,26,56,0.464,4,4,1.0,8,29,37,16,8,2,16,71,1243,0.459,0.475,6,2,6,4,0,0,,,170.04
basketball,v1,Team,92,0,2022,6,2,7,Championship,,,None,,,None,None,None None,,200,31,73,0.425,5,15,0.333,26,58,0.448,9,12,0.75,14,28,42,15,6,2,14,76,606,0.459,0.485,8,7,6,5,3,1,,,177.04
basketball,v1,Team,91,1,2022,6,2,7,Championship,,,None,,,None,None,None None,,200,30,62,0.484,9,26,0.346,21,36,0.583,14,18,0.778,3,24,27,18,8,4,11,83,4228,0.556,0.594,7,8,5,6,1,3,,,231.81999999999996
basketball,v1,Team,90,0,2022,6,2,8,Championship,,,None,,,None,None,None None,,200,40,77,0.519,10,29,0.345,30,48,0.625,15,17,0.882,12,25,37,17,13,1,16,105,3295,0.584,0.621,6,8,11,8,1,1,,,178.32999999999998
basketball,v1,Team,93,1,2022,6,2,8,Championship,,,None,,,None,None,None None,,200,32,73,0.438,10,28,0.357,22,45,0.489,20,21,0.952,9,24,33,20,10,5,16,94,2012,0.507,0.571,8,6,8,11,1,1,,,303.55
basketball,v1,Team,93,0,2022,6,2,9,Championship,,,None,,,None,None,None None,,201,31,69,0.449,11,21,0.524,20,48,0.417,12,15,0.8,7,21,28,18,7,1,12,85,1269,0.529,0.562,8,8,11,4,1,3,,,144.41000000000003
basketball,v1,Team,91,1,2022,6,2,9,Championship,,,None,,,None,None,None None,,200,38,70,0.543,7,24,0.292,31,46,0.674,15,16,0.938,7,26,33,22,7,1,12,98,3840,0.593,0.636,8,8,4,11,3,1,,,168.60000000000002
basketball,v1,Team,92,0,2022,6,2,10,Championship,,,None,,,None,None,None None,,200,38,68,0.559,10,19,0.526,28,49,0.571,9,13,0.692,6,25,31,22,6,3,12,95,3297,0.632,0.644,10,6,3,3,1,2,,,228.46
basketball,v1,Team,90,1,2022,6,2,10,Championship,,,None,,,None,None,None None,,201,34,73,0.466,8,23,0.348,26,50,0.52,13,16,0.812,10,25,35,14,7,1,12,89,1851,0.521,0.556,6,10,3,3,2,1,,,155.27000000000004
basketball,v1,Team,93,0,2022,6,2,11,Championship,,,None,,,None,None,None None,,200,28,66,0.424,4,18,0.222,24,48,0.5,14,18,0.778,6,17,23,14,5,2,12,74,1107,0.455,0.501,8,10,3,3,0,1,,,159.18
basketball,v1,Team,92,1,2022,6,2,11,Championship,,,None,,,None,None,None None,,202,39,67,0.582,8,13,0.615,31,54,0.574,14,14,1.0,8,29,37,22,8,0,12,100,3949,0.642,0.683,10,8,3,3,1,0,,,140.1
basketball,v1,Team,91,0,2022,6,2,12,Championship,,,None,,,None,None,None None,,200,41,69,0.594,10,25,0.4,31,44,0.705,5,9,0.556,6,24,30,27,7,6,15,97,3804,0.667,0.665,7,4,9,3,1,0,,,333.3599999999999
basketball,v1,Team,90,1,2022,6,2,12,Championship,,,None,,,None,None,None None,,200,33,73,0.452,6,24,0.25,27,49,0.551,12,16,0.75,10,22,32,20,12,1,16,84,1428,0.493,0.525,4,7,3,9,0,1,,,153.77
basketball,v1,Team,96,0,2022,6,3,13,Championship,,,None,,,None,None,None None,,200,35,71,0.493,4,18,0.222,31,53,0.585,11,15,0.733,11,24,35,20,8,3,21,85,3050,0.521,0.548,7,7,5,7,4,3,,,215.67
basketball,v1,Team,95,1,2022,6,3,13,Championship,,,None,,,None,None,None None,,200,32,70,0.457,6,20,0.3,26,50,0.52,10,12,0.833,10,17,27,21,16,2,18,80,1845,0.5,0.531,7,7,7,5,3,4,,,182.59999999999997
basketball,v1,Team,94,0,2022,6,3,14,Championship,,,None,,,None,None,None None,,200,22,60,0.367,4,26,0.154,18,34,0.529,6,10,0.6,4,22,26,10,4,2,17,54,778,0.4,0.419,5,5,7,11,0,0,,,120.6
basketball,v1,Team,97,1,2022,6,3,14,Championship,,,None,,,None,None,None None,,201,31,70,0.443,5,12,0.417,26,58,0.448,12,14,0.857,11,29,40,20,13,2,10,79,3735,0.479,0.519,5,5,11,7,0,0,,,188.2
basketball,v1,Team,97,0,2022,6,3,15,Championship,,,None,,,None,None,None None,,200,30,68,0.441,6,15,0.4,24,53,0.453,20,27,0.741,10,28,38,23,14,2,16,86,3200,0.485,0.538,5,13,9,6,2,1,,,187.73999999999998
basketball,v1,Team,95,1,2022,6,3,15,Championship,,,None,,,None,None,None None,,199,30,71,0.423,11,24,0.458,19,47,0.404,10,11,0.909,8,25,33,21,9,5,17,81,1779,0.5,0.534,13,5,6,9,1,2,,,283.95000000000005
basketball,v1,Team,96,0,2022,6,3,16,Championship,,,None,,,None,None,None None,,200,28,66,0.424,5,22,0.227,23,44,0.523,9,13,0.692,10,31,41,17,7,2,19,70,1665,0.462,0.488,6,9,3,5,2,1,,,159.28
basketball,v1,Team,94,1,2022,6,3,16,Championship,,,None,,,None,None,None None,,200,35,74,0.473,10,27,0.37,25,47,0.532,10,10,1.0,6,30,36,15,10,4,10,90,3214,0.541,0.574,9,6,5,3,1,2,,,270.74
basketball,v1,Team,97,0,2022,6,3,17,Championship,,,None,,,None,None,None None,,200,34,68,0.5,8,21,0.381,26,47,0.553,9,13,0.692,7,25,32,20,9,4,10,85,3191,0.559,0.577,10,7,9,4,0,3,,,252.07999999999993
basketball,v1,Team,96,1,2022,6,3,17,Championship,,,None,,,None,None,None None,,200,24,62,0.387,4,19,0.211,20,43,0.465,27,28,0.964,9,27,36,14,6,0,12,79,1737,0.419,0.531,7,10,4,9,3,0,,,104.79999999999998
basketball,v1,Team,95,0,2022,6,3,18,Championship,,,None,,,None,None,None None,,200,38,70,0.543,5,15,0.333,33,55,0.6,9,10,0.9,6,19,25,24,5,3,14,90,1597,0.579,0.605,9,7,10,2,0,1,,,221.39999999999998
basketball,v1,Team,94,1,2022,6,3,18,Championship,,,None,,,None,None,None None,,200,34,66,0.515,13,25,0.52,21,41,0.512,23,25,0.92,8,25,33,22,11,1,9,104,4073,0.614,0.675,7,9,2,10,1,0,,,178.83999999999997
basketball,v1,Team,100,0,2022,6,4,19,Championship,,,None,,,None,None,None None,,199,29,71,0.408,10,26,0.385,19,45,0.422,19,21,0.905,12,28,40,13,9,4,13,87,3204,0.479,0.542,4,9,3,6,0,0,,,257.65999999999997
basketball,v1,Team,99,1,2022,6,4,19,Championship,,,None,,,None,None,None None,,200,35,74,0.473,9,21,0.429,26,53,0.491,6,7,0.857,8,28,36,24,8,3,13,85,1898,0.534,0.551,9,4,6,3,0,0,,,230.77999999999997
basketball,v1,Team,98,0,2022,6,4,20,Championship,,,None,,,None,None,None None,,200,34,63,0.54,8,21,0.381,26,42,0.619,10,10,1.0,5,35,40,17,4,4,13,86,3243,0.603,0.638,9,6,3,7,1,1,,,238.77999999999997
basketball,v1,Team,101,1,2022,6,4,20,Championship,,,None,,,None,None,None None,,200,27,71,0.38,7,21,0.333,20,50,0.4,15,17,0.882,8,22,30,18,9,2,5,76,1666,0.43,0.484,6,9,7,3,1,1,,,181.57999999999993
basketball,v1,Team,101,0,2022,6,4,21,Championship,,,None,,,None,None,None None,,200,34,72,0.472,10,21,0.476,24,51,0.471,9,10,0.9,10,29,39,16,5,2,10,87,3969,0.542,0.569,5,4,5,5,1,3,,,190.66
basketball,v1,Team,99,1,2022,6,4,21,Championship,,,None,,,None,None,None None,,200,28,65,0.431,7,15,0.467,21,50,0.42,8,13,0.615,10,23,33,15,6,9,11,71,653,0.485,0.502,4,5,5,5,3,1,,,384.25
basketball,v1,Team,100,0,2022,6,4,22,Championship,,,None,,,None,None,None None,,225,39,89,0.438,11,25,0.44,28,64,0.438,21,25,0.84,17,19,36,18,16,2,17,110,1432,0.5,0.55,10,11,10,7,2,3,,,236.41999999999996
basketball,v1,Team,98,1,2022,6,4,22,Championship,,,None,,,None,None,None None,,225,37,67,0.552,12,30,0.4,25,37,0.676,27,27,1.0,9,25,34,17,9,5,24,113,3827,0.642,0.716,11,10,7,10,3,2,,,299.84999999999997
basketball,v1,Team,101,0,2022,6,4,23,Championship,,,None,,,None,None,None None,,200,32,74,0.432,11,29,0.379,21,45,0.467,6,7,0.857,8,18,26,21,11,6,12,81,1288,0.507,0.525,13,3,4,5,2,3,,,334.05999999999995
basketball,v1,Team,100,1,2022,6,4,23,Championship,,,None,,,None,None,None None,,200,32,68,0.471,5,20,0.25,27,48,0.562,22,25,0.88,12,32,44,20,9,4,16,91,3782,0.507,0.576,3,13,5,4,3,2,,,258.87999999999994
basketball,v1,Team,99,0,2022,6,4,24,Championship,,,None,,,None,None,None None,,199,37,70,0.529,11,22,0.5,26,48,0.542,15,17,0.882,5,22,27,24,7,1,6,100,4484,0.607,0.645,6,7,5,6,0,0,,,174.2
basketball,v1,Team,98,1,2022,6,4,24,Championship,,,None,,,None,None,None None,,200,36,75,0.48,8,23,0.348,28,52,0.538,13,16,0.812,14,24,38,26,4,1,9,93,1660,0.533,0.567,7,6,6,5,0,0,,,170.75
basketball,v1,Team,104,0,2022,6,5,25,Championship,,,None,,,None,None,None None,,200,30,65,0.462,3,16,0.188,27,49,0.551,15,18,0.833,7,22,29,15,11,1,13,78,1670,0.485,0.535,8,8,4,2,2,1,,,139.05
basketball,v1,Team,103,1,2022,6,5,25,Championship,,,None,,,None,None,None None,,200,34,63,0.54,11,24,0.458,23,39,0.59,9,15,0.6,9,28,37,23,5,1,17,88,3198,0.627,0.632,8,8,2,4,1,2,,,148.07
basketball,v1,Team,102,0,2022,6,5,26,Championship,,,None,,,None,None,None None,,200,33,75,0.44,10,29,0.345,23,46,0.5,4,4,1.0,11,30,41,17,3,3,10,80,3638,0.507,0.521,5,2,5,4,0,3,,,223.05
basketball,v1,Team,105,1,2022,6,5,26,Championship,,,None,,,None,None,None None,,200,29,65,0.446,6,16,0.375,23,49,0.469,6,7,0.857,3,24,27,14,6,3,12,70,1064,0.492,0.514,2,5,4,5,3,0,,,188.24999999999997
basketball,v1,Team,105,0,2022,6,5,27,Championship,,,None,,,None,None,None None,,200,35,68,0.515,11,24,0.458,24,44,0.545,16,17,0.941,4,30,34,22,7,5,12,97,3592,0.596,0.643,12,8,2,9,2,1,,,298.59999999999997
basketball,v1,Team,103,1,2022,6,5,27,Championship,,,None,,,None,None,None None,,200,29,73,0.397,9,26,0.346,20,47,0.426,21,23,0.913,12,25,37,14,6,3,13,88,1295,0.459,0.529,8,12,9,2,1,2,,,221.20999999999998
basketball,v1,Team,104,0,2022,6,5,28,Championship,,,None,,,None,None,None None,,200,31,67,0.463,3,12,0.25,28,55,0.509,9,9,1.0,6,27,33,13,7,3,13,74,1631,0.485,0.521,4,5,5,4,1,1,,,198.28999999999996
basketball,v1,Team,102,1,2022,6,5,28,Championship,,,None,,,None,None,None None,,200,34,79,0.43,12,31,0.387,22,48,0.458,5,9,0.556,16,27,43,20,8,2,10,85,3191,0.506,0.512,5,4,4,5,1,1,,,204.11999999999998
basketball,v1,Team,105,0,2022,6,5,29,Championship,,,None,,,None,None,None None,,200,40,67,0.597,12,24,0.5,28,43,0.651,11,14,0.786,8,24,32,26,9,2,15,103,3276,0.687,0.704,6,6,3,8,1,1,,,207.26
basketball,v1,Team,104,1,2022,6,5,29,Championship,,,None,,,None,None,None None,,200,35,73,0.479,10,20,0.5,25,53,0.472,10,12,0.833,10,19,29,21,10,2,17,90,1805,0.548,0.575,6,6,7,2,1,1,,,192.33999999999997
basketball,v1,Team,103,0,2022,6,5,30,Championship,,,None,,,None,None,None None,,275,44,96,0.458,10,29,0.345,34,67,0.507,13,16,0.812,14,36,50,30,9,2,18,111,2443,0.51,0.539,7,9,11,8,2,0,,,249.68
basketball,v1,Team,102,1,2022,6,5,30,Championship,,,None,,,None,None,None None,,275,44,104,0.423,14,40,0.35,30,64,0.469,14,16,0.875,19,32,51,28,13,0,10,116,2653,0.49,0.522,9,7,8,11,0,2,,,175.1
