sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Team,417,0,2024,171,1,6,Championship,,,None,,None,None,None None,,71,36,69,0.522,11,25,0.44,25,44,0.568,24,27,0.889,8,20,28,24,12,4,18,107,4754,0.601,0.661,14,9,6,11,4,2,1,0,275.44
basketball,v1,Team,416,1,2024,171,1,6,Championship,,,None,,None,None,None None,,140,36,70,0.514,7,19,0.368,29,51,0.569,24,31,0.774,10,21,31,23,9,4,18,103,1517,0.564,0.616,9,14,11,6,2,4,1,0,267.8
basketball,v1,Team,422,0,2024,171,2,7,Championship,,,None,,None,None,None None,,103,34,83,0.41,11,28,0.393,23,55,0.418,16,23,0.696,13,23,36,25,13,4,14,95,2657,0.476,0.51,10,11,5,5,3,2,1,0,298.97999999999996
basketball,v1,Team,421,1,2024,171,2,7,Championship,,,None,,None,None,None None,,80,40,74,0.541,8,19,0.421,32,55,0.582,13,19,0.684,10,31,41,18,6,6,19,101,3201,0.595,0.613,11,10,5,5,2,3,1,0,346.05999999999995
basketball,v1,Team,420,0,2024,171,2,8,Championship,,,None,,None,None,None None,,200,31,77,0.403,7,24,0.292,24,53,0.453,18,18,1.0,16,28,44,19,10,5,17,87,3946,0.448,0.512,13,10,2,3,1,0,0,0,313.15000000000003
basketball,v1,Team,423,1,2024,171,2,8,Championship,,,None,,None,None,None None,,160,30,68,0.441,5,21,0.238,25,47,0.532,21,25,0.84,8,27,35,15,10,4,13,86,2009,0.478,0.544,10,13,3,2,0,1,2,0,249.67999999999995
basketball,v1,Team,423,0,2024,171,2,9,Championship,,,None,,None,None,None None,,164,37,82,0.451,5,17,0.294,32,65,0.492,20,25,0.8,12,24,36,17,13,5,17,99,4022,0.482,0.532,7,10,3,6,1,4,1,0,335.0
basketball,v1,Team,421,1,2024,171,2,9,Championship,,,None,,None,None,None None,,162,38,79,0.481,8,22,0.364,30,57,0.526,11,14,0.786,8,31,39,24,11,10,19,95,2121,0.532,0.558,10,7,6,3,4,1,1,0,517.4
basketball,v1,Team,422,0,2024,171,2,10,Championship,,,None,,None,None,None None,,164,33,73,0.452,11,23,0.478,22,50,0.44,16,18,0.889,10,31,41,23,9,5,16,93,4079,0.527,0.575,10,7,3,6,2,1,1,0,308.44999999999993
basketball,v1,Team,420,1,2024,171,2,10,Championship,,,None,,None,None,None None,,170,32,71,0.451,10,31,0.323,22,40,0.55,16,19,0.842,9,27,36,24,10,8,11,90,2163,0.521,0.567,7,10,6,3,1,2,0,0,407.71999999999997
basketball,v1,Team,423,0,2024,171,2,11,Championship,,,None,,None,None,None None,,165,33,66,0.5,9,21,0.429,24,45,0.533,10,17,0.588,7,24,31,19,11,6,17,85,2032,0.568,0.578,7,10,5,5,1,3,0,0,306.84
basketball,v1,Team,422,1,2024,171,2,11,Championship,,,None,,None,None,None None,,165,35,76,0.461,10,24,0.417,25,52,0.481,13,18,0.722,16,29,45,22,12,5,16,93,4043,0.526,0.554,10,7,5,5,3,1,2,0,320.5
basketball,v1,Team,421,0,2024,171,2,12,Championship,,,None,,None,None,None None,,166,34,84,0.405,11,33,0.333,23,51,0.451,29,30,0.967,13,17,30,19,8,2,11,108,1471,0.47,0.556,13,15,10,2,1,2,0,0,224.01999999999998
basketball,v1,Team,420,1,2024,171,2,12,Championship,,,None,,None,None,None None,,170,38,70,0.543,8,21,0.381,30,49,0.612,31,37,0.838,11,31,42,24,9,13,15,115,5019,0.6,0.666,15,13,2,10,2,1,1,0,600.7
