sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,1,1,1,1,35,27,8,7,3,0,0,8,5,2,3,0,0,0,0.259,0.412,0.37,10,0,1,1700,1,0,3.0,0,0,0,,,0,9,3,3,1,3,2,1,0,,,,,,0.6666666666666666,,39,47,68,,,56.0,56.0,18,9,0,8,1.0,0,0.0,27,27,4.339285714285714,Team,252,0
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,1,1,1,1,31,26,3,9,0,0,1,3,3,1,2,1,1,0,0.346,0.419,0.462,12,1,0,496,0,1,8.0,0,0,0,,,0,7,8,8,0,5,3,2,0,,,,,,0.6,,39,52,85,,,56.0,56.0,19,9,0,0,1.0,0,0.0,28,28,4.5,Team,251,1
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,2,1,1,1,34,29,6,11,1,0,2,6,5,0,0,0,0,0,0.379,0.471,0.621,18,0,0,1204,1,0,4.0,0,0,0,,,0,11,5,4,0,2,5,1,2,,,,,,2.5,,39,53,87,,,56.0,56.0,16,9,2,3,0.926,0,0.0,27,27,4.017857142857143,Team,253,0
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,2,1,1,1,36,33,5,11,2,0,0,3,2,1,5,0,0,0,0.333,0.389,0.394,13,0,0,1038,0,1,6.0,0,0,0,,,0,11,6,6,2,5,0,0,1,,,,,,0.0,,39,47,65,,,56.0,56.0,21,15,0,5,1.0,0,0.0,36,36,5.785714285714286,Team,251,1
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,3,1,1,1,38,36,8,13,0,1,2,8,1,0,6,0,0,0,0.361,0.368,0.583,21,1,0,502,0,1,7.887,0,0,0,,,0,16,9,8,1,2,6,0,0,,,,,,3.0,,39,48,87,,,64.0,64.0,15,9,1,0,0.96,1,1.0,25,25,3.375,Team,253,0
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,3,1,1,1,39,37,9,16,3,1,1,9,2,0,6,0,1,1,0.432,0.462,0.649,24,0,0,1752,1,0,6.125,0,0,0,,,0,13,8,7,2,1,6,0,1,,,,,,6.0,,39,41,77,,,64.0,64.0,18,11,2,4,0.935,0,0.0,31,31,4.078125,Team,252,1
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,4,1,1,1,43,37,12,13,2,0,0,11,3,3,5,2,2,0,0.351,0.442,0.405,15,0,0,1562,1,0,5.833,0,0,0,,,0,5,6,6,2,5,8,1,0,,,,,,1.6,,39,56,79,,,54.2,54.667,12,7,0,3,1.0,0,0.0,19,19,3.128029707135932,Team,251,0
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,4,1,1,1,31,25,6,5,0,0,2,6,5,1,8,0,0,0,0.2,0.355,0.44,11,0,0,622,0,1,10.0,0,0,0,,,0,13,12,10,0,3,5,3,2,,,,,,1.6666666666666667,,39,67,118,,,56.0,56.0,16,10,2,0,0.929,0,0.0,28,28,4.178571428571429,Team,252,1
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,5,1,1,1,31,29,5,8,0,0,4,5,2,0,9,0,1,1,0.276,0.323,0.69,20,0,0,1920,1,0,3.0,0,0,1,,,0,6,3,3,0,4,6,0,1,,,,,,1.5,,39,51,71,,,56.0,56.0,16,9,0,0,1.0,1,1.0,25,25,4.017857142857143,Team,251,0
aux_softball,v1,2022,39,0,0,,,,None,,,None,None,None None,1,5,1,1,1,29,24,3,6,1,0,0,3,4,0,6,0,1,1,0.25,0.357,0.292,7,0,1,276,0,1,5.0,0,0,0,,,0,8,5,5,4,2,9,0,1,,,,,,4.5,,39,42,88,,,56.0,56.0,13,8,0,0,1.0,1,1.0,21,21,3.375,Team,253,1
