sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,week,game_num,season_type,G,GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_BA,batting_OBP,batting_SLG,batting_TB,batting_SF,batting_SH,AU_POINTS,pitching_W,pitching_L,pitching_ERA,pitching_SHO,pitching_CG,pitching_SV,pitching_IP_str,pitching_IP,pitching_QS,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,pitching_PI,pitching_PI_balls,pitching_PI_strikes,pitcing_game_score,fielding_position,fielding_IP_str,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_FLD%,fielding_CS,fielding_CS%,fielding_TC,fielding_CH,fielding_RF/9,type,teamId,homeTeamFlg
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,1,1,1,1,35,27,5,7,2,0,1,5,4,2,7,0,0,0,0.259,0.371,0.444,12,2,0,1892,1,0,4.0,0,0,0,,,0,6,4,4,2,3,8,0,0,,,,,,2.6666666666666665,,106,38,65,,,56.0,56.0,13,5,0,2,1.0,0,0.0,18,18,2.892857142857143,Team,367,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,1,1,1,1,29,26,4,6,1,0,2,4,3,0,8,0,0,0,0.231,0.31,0.5,13,0,0,328,0,1,4.861,0,0,0,,,0,7,5,5,1,4,7,2,1,,,,,,1.75,,106,52,83,,,56.0,56.0,14,4,1,0,0.947,0,0.0,19,19,2.892857142857143,Team,366,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,2,1,1,1,39,33,9,12,1,0,2,9,4,1,9,0,0,0,0.364,0.447,0.576,19,0,1,1494,1,0,5.0,0,0,0,,,0,9,7,5,1,4,5,0,2,,,,,,1.25,,106,52,77,,,56.0,56.0,16,11,2,3,0.931,0,0.0,29,29,4.339285714285714,Team,368,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,2,1,1,1,35,30,7,9,2,0,1,5,4,0,5,0,0,0,0.3,0.382,0.467,14,0,1,776,0,1,7.0,0,0,0,,,0,12,9,7,2,4,9,1,1,,,,,,2.25,,106,62,115,,,56.0,56.0,10,6,1,0,0.941,0,0.0,17,17,2.5714285714285716,Team,366,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,3,1,1,1,38,33,10,14,0,1,5,9,3,1,6,0,0,0,0.424,0.486,0.939,31,0,1,1956,1,0,6.0,0,0,1,,,0,13,7,6,1,4,4,2,2,,,,,,1.0,,106,60,97,,,56.0,56.0,17,8,1,5,0.962,0,0.0,26,26,4.017857142857143,Team,368,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,3,1,1,1,39,32,7,13,4,0,1,7,4,2,4,0,0,0,0.406,0.5,0.625,20,0,1,462,0,1,10.0,0,0,0,,,0,14,10,10,5,3,6,1,2,,,,,,2.0,,106,48,97,,,56.0,56.0,14,6,1,2,0.952,0,0.0,21,21,3.2142857142857144,Team,367,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,4,1,1,1,41,38,12,18,5,0,3,12,3,0,8,0,0,0,0.474,0.512,0.842,32,0,0,2208,1,0,2.0,0,0,0,,,0,6,3,2,1,2,10,0,0,,,,,,5.0,,106,50,88,,,56.0,56.0,11,4,2,2,0.882,0,0.0,17,17,2.4107142857142856,Team,366,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,4,1,1,1,30,27,3,6,2,0,1,3,2,0,10,0,0,0,0.222,0.276,0.407,11,0,1,100,0,1,12.0,0,0,0,,,0,18,12,12,3,3,8,0,2,,,,,,2.6666666666666665,,106,48,70,,,54.2,54.667,13,7,0,3,1.0,0,0.0,20,20,3.2926628496167707,Team,367,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,5,1,1,1,32,30,6,8,1,0,1,6,2,0,1,0,0,0,0.267,0.313,0.4,12,0,0,890,0,1,7.0,0,0,0,,,0,7,7,7,1,4,4,2,0,,,,,,1.0,,106,62,98,,,56.0,56.0,17,5,0,0,1.0,0,0.0,22,22,3.5357142857142856,Team,366,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,5,1,1,1,34,27,7,7,1,1,1,7,4,2,4,1,1,0,0.259,0.382,0.481,13,1,0,1282,1,0,6.0,0,0,1,,,0,8,6,6,1,2,1,0,0,,,,,,0.5,,106,41,67,,,55.2,55.667,20,8,1,0,0.966,0,0.0,29,29,4.526919000485027,Team,368,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,6,1,1,1,34,30,7,9,1,0,0,7,3,1,2,0,0,0,0.3,0.382,0.333,10,0,0,1426,1,0,3.0,0,0,0,,,0,6,4,3,0,6,6,0,1,,,,,,1.0,,106,61,73,,,56.0,56.0,14,4,1,0,0.947,0,0.0,19,19,2.892857142857143,Team,367,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,1,6,1,1,1,33,27,4,6,0,0,0,2,6,0,6,0,0,0,0.222,0.364,0.222,6,0,0,682,0,1,7.0,0,0,0,,,0,9,7,7,0,3,2,1,0,,,,,,0.6666666666666666,,106,52,73,,,56.0,56.0,18,12,0,0,1.0,0,0.0,30,30,4.821428571428571,Team,368,1
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,2,7,1,1,1,34,33,8,11,3,0,2,7,1,0,7,0,0,0,0.333,0.353,0.606,20,0,0,1792,1,0,2.0,0,0,1,,,0,6,2,2,2,2,2,1,0,,,,,,1.0,,106,48,75,,,56.0,56.0,18,8,0,0,1.0,0,0.0,26,26,4.178571428571429,Team,371,0
aux_softball,v1,2023,106,0,0,,,,None,,,None,None,None None,2,7,1,1,1,30,27,2,6,0,0,2,2,2,1,2,0,0,0,0.222,0.3,0.444,12,0,0,438,0,1,7.0,0,0,0,,,0,11,8,7,2,1,7,0,0,,,,,,7.0,,106,45,96,,,56.0,56.0,14,3,1,0,0.944,0,0.0,18,18,2.732142857142857,Team,370,1
