sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2023,138,6,1,Championship,,,None,,,,,None None,,,None,,,384,32,44,1.38,14,120,0.25,40,1.25,1,2,4,0.06,65,3,0.51,45,1.41,11,0.34,1551
volleyball,v1,2023,138,6,1,Championship,,,None,,,,,None None,,,None,,,383,31,51,1.65,16,124,0.28,46,1.48,1,3,9,0.1,68,2,0.41,51,1.65,6,0.19,1704
volleyball,v1,2023,138,7,2,Championship,,,None,,,,,None None,,,None,,,389,23,47,2.04,10,115,0.32,46,2.0,1,7,4,0.3,47,2,0.49,53,2.3,7,0.3,2803
volleyball,v1,2023,138,7,2,Championship,,,None,,,,,None None,,,None,,,388,24,33,1.38,14,110,0.17,31,1.29,2,2,5,0.08,71,7,0.54,44,1.83,6,0.25,393
volleyball,v1,2023,138,8,2,Championship,,,None,,,,,None None,,,None,,,387,21,48,2.29,12,114,0.32,47,2.24,3,1,4,0.05,70,4,0.49,47,2.24,6,0.29,1004
volleyball,v1,2023,138,8,2,Championship,,,None,,,,,None None,,,None,,,390,21,49,2.33,7,114,0.37,42,2.0,2,4,3,0.19,59,1,0.76,46,2.19,7,0.33,2406
volleyball,v1,2023,138,9,2,Championship,,,None,,,,,None None,,,None,,,390,21,41,1.95,14,109,0.25,41,1.95,0,4,6,0.19,52,0,0.62,58,2.76,11,0.52,2787
volleyball,v1,2023,138,9,2,Championship,,,None,,,,,None None,,,None,,,388,24,33,1.38,25,127,0.06,31,1.29,1,0,3,0.0,67,4,0.43,44,1.83,8,0.33,289
volleyball,v1,2023,138,10,2,Championship,,,None,,,,,None None,,,None,,,389,23,50,2.17,11,134,0.29,48,2.09,0,5,4,0.22,59,4,0.53,63,2.74,5,0.22,2395
volleyball,v1,2023,138,10,2,Championship,,,None,,,,,None None,,,None,,,387,23,44,1.91,9,124,0.28,39,1.7,2,4,5,0.17,69,5,0.49,55,2.39,6,0.26,1068
volleyball,v1,2023,138,11,2,Championship,,,None,,,,,None None,,,None,,,390,23,35,1.52,12,104,0.22,32,1.39,1,2,8,0.09,67,6,0.43,32,1.39,2,0.09,284
volleyball,v1,2023,138,11,2,Championship,,,None,,,,,None None,,,None,,,389,23,51,2.22,7,103,0.43,48,2.09,1,6,10,0.26,48,2,0.52,48,2.09,3,0.13,2719
volleyball,v1,2023,138,12,2,Championship,,,None,,,,,None None,,,None,,,388,26,38,1.46,12,120,0.22,31,1.19,1,3,5,0.12,63,4,0.6,50,1.92,12,0.46,1055
volleyball,v1,2023,138,12,2,Championship,,,None,,,,,None None,,,None,,,387,25,47,1.88,17,126,0.24,44,1.76,0,4,5,0.16,59,3,0.49,63,2.52,6,0.24,2297
volleyball,v1,2023,138,13,3,Championship,,,None,,,,,None None,,,None,,,393,23,35,1.52,20,111,0.14,35,1.52,1,3,2,0.13,67,2,0.4,45,1.96,1,0.04,352
volleyball,v1,2023,138,13,3,Championship,,,None,,,,,None None,,,None,,,392,25,47,1.88,6,107,0.38,45,1.8,2,2,7,0.08,54,3,0.72,46,1.84,10,0.4,2611
volleyball,v1,2023,138,14,3,Championship,,,None,,,,,None None,,,None,,,391,22,43,1.95,14,121,0.24,39,1.77,2,2,2,0.09,62,2,0.45,55,2.5,12,0.55,2160
volleyball,v1,2023,138,14,3,Championship,,,None,,,,,None None,,,None,,,394,24,48,2.0,17,134,0.23,44,1.83,2,2,7,0.08,68,2,0.47,51,2.13,6,0.25,1005
volleyball,v1,2023,138,15,3,Championship,,,None,,,,,None None,,,None,,,394,25,35,1.4,25,124,0.08,33,1.32,1,3,6,0.12,64,2,0.55,57,2.28,4,0.16,808
volleyball,v1,2023,138,15,3,Championship,,,None,,,,,None None,,,None,,,392,25,37,1.48,11,116,0.22,33,1.32,0,2,8,0.08,54,3,0.41,49,1.96,13,0.52,2102
volleyball,v1,2023,138,16,3,Championship,,,None,,,,,None None,,,None,,,393,26,36,1.38,17,111,0.17,35,1.35,1,1,5,0.04,63,1,0.52,50,1.92,6,0.23,901
volleyball,v1,2023,138,16,3,Championship,,,None,,,,,None None,,,None,,,391,22,48,2.18,12,118,0.31,44,2.0,1,1,9,0.05,55,1,0.53,52,2.36,13,0.59,2348
volleyball,v1,2023,138,17,3,Championship,,,None,,,,,None None,,,None,,,394,23,36,1.57,15,124,0.17,34,1.48,1,2,3,0.09,67,2,0.51,52,2.26,5,0.22,936
volleyball,v1,2023,138,17,3,Championship,,,None,,,,,None None,,,None,,,393,24,52,2.17,13,127,0.31,46,1.92,0,2,6,0.08,55,2,0.51,63,2.63,5,0.21,2353
volleyball,v1,2023,138,18,3,Championship,,,None,,,,,None None,,,None,,,392,24,50,2.08,6,112,0.39,46,1.92,2,3,4,0.13,46,0,0.54,44,1.83,9,0.38,2658
volleyball,v1,2023,138,18,3,Championship,,,None,,,,,None None,,,None,,,391,22,35,1.59,18,109,0.16,33,1.5,2,0,2,0.0,69,3,0.36,48,2.18,3,0.14,351
volleyball,v1,2023,138,19,4,Championship,,,None,,,,,None None,,,None,,,397,26,45,1.73,15,133,0.23,38,1.46,0,1,8,0.04,61,1,0.48,63,2.42,8,0.31,2291
volleyball,v1,2023,138,19,4,Championship,,,None,,,,,None None,,,None,,,396,24,42,1.75,13,125,0.23,41,1.71,4,1,8,0.04,62,1,0.58,62,2.58,8,0.33,1029
volleyball,v1,2023,138,20,4,Championship,,,None,,,,,None None,,,None,,,395,23,45,1.96,15,117,0.26,43,1.87,0,5,5,0.22,63,3,0.43,54,2.35,9,0.39,1801
volleyball,v1,2023,138,20,4,Championship,,,None,,,,,None None,,,None,,,398,22,48,2.18,15,125,0.26,46,2.09,0,3,7,0.14,69,5,0.48,53,2.41,8,0.36,1525
volleyball,v1,2023,138,21,4,Championship,,,None,,,,,None None,,,None,,,398,25,44,1.76,17,130,0.21,43,1.72,1,0,11,0.0,71,1,0.51,49,1.96,9,0.36,526
volleyball,v1,2023,138,21,4,Championship,,,None,,,,,None None,,,None,,,396,22,47,2.14,15,119,0.27,46,2.09,0,1,7,0.05,58,0,0.52,54,2.45,7,0.32,2713
volleyball,v1,2023,138,22,4,Championship,,,None,,,,,None None,,,None,,,397,27,50,1.85,13,114,0.32,49,1.81,1,6,4,0.22,59,2,0.53,49,1.81,4,0.15,2330
volleyball,v1,2023,138,22,4,Championship,,,None,,,,,None None,,,None,,,395,26,43,1.65,13,115,0.26,40,1.54,1,2,5,0.08,70,6,0.54,42,1.62,7,0.27,933
