sport,season,seasonId,playerId,first_name,last_name,full_name,G,sets_played,kills,attack_errors,attack_attempts,assists,setting_errors,service_errors,service_aces,total_reception_attempts,reception_errors,digs,blocks,au_total_points,kills_per_set,attack_percentage,assists_per_set,service_aces_per_set,digs_per_set,blocks_per_set
volleyball,2022,11,56,Molly,McCage,Molly McCage,11,32,61,27,162,0,0,16,6,1,0,19,27,1921,1.906,0.21,0.0,0.188,0.594,0.844
volleyball,2022,11,59,Karsta,Lowe,Karsta Lowe,7,21,110,32,288,0,1,1,1,1,0,73,8,2131,5.238,0.271,0.0,0.048,3.476,0.381
volleyball,2022,11,64,Cassidy,Lichtman,Cassidy Lichtman,15,46,88,29,355,13,0,3,11,203,8,144,13,3279,1.913,0.166,0.283,0.239,3.13,0.283
volleyball,2022,11,66,Valerie,Nichol,Valerie Nichol,9,20,16,5,41,124,0,6,2,2,0,56,5,1661,0.8,0.268,6.2,0.1,2.8,0.25
volleyball,2022,11,68,Deja,McClendon,Deja McClendon,14,33,38,23,120,5,1,5,1,196,11,58,4,1379,1.152,0.125,0.152,0.03,1.758,0.121
volleyball,2022,11,71,Erin,Fairs,Erin Fairs,15,42,118,50,385,6,3,11,7,377,23,159,9,2704,2.81,0.177,0.143,0.167,3.786,0.214
volleyball,2022,11,88,Taylor,Morgan,Taylor Morgan,12,34,48,10,116,6,0,10,5,3,0,25,20,1839,1.412,0.328,0.176,0.147,0.735,0.588
volleyball,2022,11,90,Sheilla,Castro,Sheilla Castro,12,36,137,38,396,8,2,27,5,3,0,103,9,2799,3.806,0.25,0.222,0.139,2.861,0.25
volleyball,2022,11,91,Aury,Cruz,Aury Cruz,13,35,107,50,337,10,0,5,7,168,12,127,3,2667,3.057,0.169,0.286,0.2,3.629,0.086
volleyball,2022,11,114,Lianna,Sybeldon,Lianna Sybeldon,15,44,59,18,165,8,1,13,3,4,0,28,21,1924,1.341,0.248,0.182,0.068,0.636,0.477
volleyball,2022,11,116,Nomaris,Vélez Agosto,Nomaris Vélez Agosto,15,45,0,0,0,27,0,0,0,254,13,194,0,2701,0.0,,0.6,0.0,4.311,0.0
volleyball,2022,11,117,Taylor,Bruns Tegenrot,Taylor Bruns Tegenrot,13,32,4,0,9,47,0,4,3,0,0,26,1,1605,0.125,0.444,1.469,0.094,0.812,0.031
volleyball,2022,11,120,Lindsay,Stalzer,Lindsay Stalzer,15,46,157,64,526,4,2,10,11,327,22,122,10,2604,3.413,0.177,0.087,0.239,2.652,0.217
volleyball,2022,11,121,Ali,Bastianelli,Ali Bastianelli,15,44,47,20,134,3,0,21,12,2,1,18,33,2045,1.068,0.201,0.068,0.273,0.409,0.75
