sport,season,seasonId,playerId,first_name,last_name,full_name,G,sets_played,kills,attack_errors,attack_attempts,assists,setting_errors,service_errors,service_aces,total_reception_attempts,reception_errors,digs,blocks,au_total_points,kills_per_set,attack_percentage,assists_per_set,service_aces_per_set,digs_per_set,blocks_per_set
volleyball,2022,11,128,Bethania,De La Cruz,Bethania De La Cruz,15,45,233,57,610,12,2,19,18,239,9,168,11,4652,5.178,0.289,0.267,0.4,3.733,0.244
volleyball,2022,11,131,Erica,Wilson,Erica Wilson,8,20,34,14,107,4,0,7,2,0,0,45,1,1405,1.7,0.187,0.2,0.1,2.25,0.05
volleyball,2022,11,140,Taylor,Sandbothe,Taylor Sandbothe,14,40,77,22,217,7,2,7,8,5,0,41,22,2098,1.925,0.253,0.175,0.2,1.025,0.55
volleyball,2022,11,141,Leah,Edmond,Leah Edmond,13,39,172,59,435,7,3,16,3,299,16,74,16,2957,4.41,0.26,0.179,0.077,1.897,0.41
volleyball,2022,11,217,Madison,Villines,Madison Villines,15,46,146,74,486,6,1,14,5,303,16,137,15,2267,3.174,0.148,0.13,0.109,2.978,0.326
volleyball,2022,11,218,Ray,Santos,Ray Santos,9,21,3,2,11,107,5,3,3,0,0,50,6,1619,0.143,0.091,5.095,0.143,2.381,0.286
volleyball,2022,11,219,Ronika,Stone,Ronika Stone,13,38,71,13,150,0,0,7,7,4,0,26,21,2784,1.868,0.387,0.0,0.184,0.684,0.553
volleyball,2022,11,220,Morgan,Hentz,Morgan Hentz,15,46,0,0,0,44,1,0,0,270,7,229,0,2950,0.0,,0.957,0.0,4.978,0.0
volleyball,2022,11,222,Amanda,Benson,Amanda Benson,15,46,0,0,0,33,2,0,0,187,7,214,0,2368,0.0,,0.717,0.0,4.652,0.0
volleyball,2022,11,223,Jenna,Rosenthal,Jenna Rosenthal,15,45,91,21,200,2,0,8,1,1,0,18,26,2348,2.022,0.35,0.044,0.022,0.4,0.578
volleyball,2022,11,230,Kalei,Mau,Kalei Mau,14,35,57,35,215,1,0,4,3,140,6,58,9,2033,1.629,0.102,0.029,0.086,1.657,0.257
volleyball,2022,11,259,Alisha,Childress,Alisha Childress,15,39,12,5,25,374,5,3,5,1,0,108,7,2293,0.308,0.28,9.59,0.128,2.769,0.179
volleyball,2022,11,260,Naya,Crittenden,Naya Crittenden,7,12,3,5,15,0,0,1,0,0,0,3,3,1347,0.25,-0.133,0.0,0.0,0.25,0.25
volleyball,2022,11,261,Natalia,Valentin-Anderson,Natalia Valentin-Anderson,15,46,17,3,52,543,11,12,13,2,0,195,8,3337,0.37,0.269,11.804,0.283,4.239,0.174
volleyball,2022,11,262,Carli,Lloyd,Carli Lloyd,15,45,15,7,55,355,7,11,4,2,0,119,18,2076,0.333,0.145,7.889,0.089,2.644,0.4
volleyball,2022,11,263,Emma,Willis,Emma Willis,5,16,20,7,48,4,0,4,1,3,0,6,3,1898,1.25,0.271,0.25,0.062,0.375,0.188
volleyball,2022,11,264,Noami,Santos-Lamb,Noami Santos-Lamb,6,11,14,12,57,1,1,3,0,87,2,17,3,1194,1.273,0.035,0.091,0.0,1.545,0.273
volleyball,2022,11,265,Lauren,Stivrins,Lauren Stivrins,5,15,25,13,63,1,0,12,7,5,0,15,11,902,1.667,0.19,0.067,0.467,1.0,0.733
volleyball,2022,11,266,Eri,Xue,Eri Xue,15,44,68,28,154,13,3,8,11,7,0,25,17,1978,1.545,0.26,0.295,0.25,0.568,0.386
volleyball,2022,11,267,Sha'Dare,McNeal,Sha'Dare McNeal,5,11,16,9,46,1,1,3,0,26,2,32,1,802,1.455,0.152,0.091,0.0,2.909,0.091
volleyball,2022,11,268,Rachael,Fara,Rachael Fara,9,23,37,12,80,1,1,6,5,0,0,12,7,1345,1.609,0.312,0.043,0.217,0.522,0.304
volleyball,2022,11,269,Jamie,Peterson,Jamie Peterson,12,33,74,25,242,6,0,22,4,239,18,63,6,2012,2.242,0.202,0.182,0.121,1.909,0.182
volleyball,2022,11,270,Taylor,Fricano,Taylor Fricano,8,17,22,4,71,0,1,2,1,0,0,27,6,1819,1.294,0.254,0.0,0.059,1.588,0.353
volleyball,2022,11,271,Hana,Lishman,Hana Lishman,15,45,0,0,0,41,0,0,0,278,11,181,0,2597,0.0,,0.911,0.0,4.022,0.0
volleyball,2022,11,272,Niki,Withers,Niki Withers,3,4,2,0,3,0,1,0,0,0,0,2,2,1618,0.5,0.667,0.0,0.0,0.5,0.5
volleyball,2022,11,273,Falyn,Fonoimoana,Falyn Fonoimoana,15,44,126,54,376,2,2,14,10,2,0,103,9,2209,2.864,0.191,0.045,0.227,2.341,0.205
volleyball,2022,11,274,Nootsara,Tomkom,Nootsara Tomkom,15,45,8,2,24,533,9,6,9,1,0,146,4,3027,0.178,0.25,11.844,0.2,3.244,0.089
volleyball,2022,11,275,Tori,Dilfer,Tori Dilfer,13,30,1,0,2,12,1,5,5,0,0,20,0,1728,0.033,0.5,0.4,0.167,0.667,0.0
volleyball,2022,11,276,Tina,Boe,Tina Boe,1,1,0,0,0,0,0,0,0,0,0,0,1,792,0.0,,0.0,0.0,0.0,1.0
volleyball,2022,11,277,Dani,Drews,Dani Drews,15,45,222,76,661,1,2,11,14,160,6,119,17,3308,4.933,0.221,0.022,0.311,2.644,0.378
